road_segment_name_cbs,road_segment_name,road_segment_id,road,segment,provider_code,2020_cbs,2020_anyway,2021_cbs,2021_anyway,2022_cbs,2022_anyway,junctions_ids_in_segment,junctions_names_in_segment,road_names_matches,2020_match,2021_match,2022_match,all_match,diff_anyway_cbs
מחלף אדומים - צומת בית הערבה,מחלף אדומים - צומת בית הערבה,10874.0,1,874,1,13.0,13,18.0,18,16.0,16,"[7001, 7002, 7003, 7116, 7153, 9222, 9356, 9405, 9877, 9916, 10094, 10191, 10385, 11663, 12266]","['צומת מישור אדומים', 'צומת אלון', 'צומת אלמוג', 'צומת בית הערבה', 'מחלף אדומים', 'כניסה לאלמוג', 'כניסה לבית הערבה', 'כניסה למעלה אדומים (נופי הסלע)', 'כניסה לשד החברה הכלכלית', 'כניסה למצפה יריחו', 'מחלף שומרוני הטוב', 'צומת לבית הערבה', 'צומת כפר אדומים', 'כניסה למחלף יריחו דרום', 'צומת נבי מוסא']",True,True,True,True,True,0.0
מחלף אדומים - צומת בית הערבה,מחלף אדומים - צומת בית הערבה,10874.0,1,874,3,16.0,16,30.0,29,32.0,32,"[7001, 7002, 7003, 7116, 7153, 9222, 9356, 9405, 9877, 9916, 10094, 10191, 10385, 11663, 12266]","['צומת מישור אדומים', 'צומת אלון', 'צומת אלמוג', 'צומת בית הערבה', 'מחלף אדומים', 'כניסה לאלמוג', 'כניסה לבית הערבה', 'כניסה למעלה אדומים (נופי הסלע)', 'כניסה לשד החברה הכלכלית', 'כניסה למצפה יריחו', 'מחלף שומרוני הטוב', 'צומת לבית הערבה', 'צומת כפר אדומים', 'כניסה למחלף יריחו דרום', 'צומת נבי מוסא']",True,True,False,True,False,-1.0
,,,1,999,3,2.0,,2.0,,11.0,,,,False,False,False,False,False,-15.0
כניסה לתיכון הולץ - צומת תל ברוך,כניסה לתיכון הולץ - צומת תל ברוך,20005.0,2,5,1,4.0,4,14.0,14,6.0,6,"[8075, 8076, 10798]","['מחלף חיל השריון', 'כניסה לתיכון הולץ', 'כניסה לתל אביב רח שאול המלך']",True,True,True,True,True,0.0
כניסה לתיכון הולץ - צומת תל ברוך,כניסה לתיכון הולץ - צומת תל ברוך,20005.0,2,5,3,15.0,15,35.0,35,15.0,15,"[8075, 8076, 10798]","['מחלף חיל השריון', 'כניסה לתיכון הולץ', 'כניסה לתל אביב רח שאול המלך']",True,True,True,True,True,0.0
צומת תל ברוך - צומת גלילות,צומת תל ברוך - צומת גלילות,20010.0,2,10,1,1.0,1,4.0,4,1.0,1,"[8003, 8074]","['צומת תל ברוך', 'כניסה לתחנת דלק']",True,True,True,True,True,0.0
צומת תל ברוך - צומת גלילות,צומת תל ברוך - צומת גלילות,20010.0,2,10,3,4.0,4,4.0,4,3.0,3,"[8003, 8074]","['צומת תל ברוך', 'כניסה לתחנת דלק']",True,True,True,True,True,0.0
צומת גלילות - מחלף הסירה,צומת גלילות - מחלף הסירה,20020.0,2,20,1,1.0,1,8.0,8,8.0,8,"[57, 3747]","['צומת גלילות', 'צומת סינמה סיטי']",True,True,True,True,True,0.0
צומת גלילות - מחלף הסירה,צומת גלילות - מחלף הסירה,20020.0,2,20,3,3.0,3,17.0,17,14.0,14,"[57, 3747]","['צומת גלילות', 'צומת סינמה סיטי']",True,True,True,True,True,0.0
מחלף הסירה - מחלף רבין (שמריהו),מחלף הסירה - מחלף רבין (שמריהו),20022.0,2,22,1,2.0,2,5.0,5,4.0,4,"[58, 59, 3748]","['מחלף הסירה', 'צומת הרצלייה', 'צומת']",True,True,True,True,True,0.0
מחלף הסירה - מחלף רבין (שמריהו),מחלף הסירה - מחלף רבין (שמריהו),20022.0,2,22,3,11.0,11,22.0,22,24.0,24,"[58, 59, 3748]","['מחלף הסירה', 'צומת הרצלייה', 'צומת']",True,True,True,True,True,0.0
מחלף רבין (שמריהו) - כניסה לשפיים (דרום),מחלף רבין (שמריהו) - כניסה לשפיים (דרום),20030.0,2,30,1,2.0,2,8.0,8,6.0,6,"[61, 63, 65]","['מחלף רבין (שמריהו)', 'צומת נוף ים', 'כניסה לרשפון']",True,True,True,True,True,0.0
מחלף רבין (שמריהו) - כניסה לשפיים (דרום),מחלף רבין (שמריהו) - כניסה לשפיים (דרום),20030.0,2,30,3,16.0,16,20.0,20,26.0,26,"[61, 63, 65]","['מחלף רבין (שמריהו)', 'צומת נוף ים', 'כניסה לרשפון']",True,True,True,True,True,0.0
כניסה לשפיים (דרום) - מחלף חוף השרון,כניסה לשפיים (דרום) - מחלף חוף השרון דרום,20034.0,2,34,1,1.0,0,4.0,2,3.0,1,"[66, 67]","['כניסה לשפיים (דרום)', 'כניסה לשפיים (צפון)']",False,False,False,False,False,-5.0
כניסה לשפיים (דרום) - מחלף חוף השרון,כניסה לשפיים (דרום) - מחלף חוף השרון דרום,20034.0,2,34,3,9.0,6,6.0,4,13.0,6,"[66, 67]","['כניסה לשפיים (דרום)', 'כניסה לשפיים (צפון)']",False,False,False,False,False,-12.0
,מחלף חוף השרון דרום - מחלף חוף השרון,20037.0,2,37,1,,1,,2,,2,"[10324, 12117]","['צומת לגעש', 'מחלף חוף השרון דרום']",False,False,False,False,False,5.0
,מחלף חוף השרון דרום - מחלף חוף השרון,20037.0,2,37,3,,3,,2,,7,"[10324, 12117]","['צומת לגעש', 'מחלף חוף השרון דרום']",False,False,False,False,False,12.0
מחלף חוף השרון - מחלף פולג,מחלף חוף השרון - מחלף פולג,20040.0,2,40,1,4.0,4,3.0,3,7.0,7,"[71, 73, 3936, 10246, 12375]","['כניסה ליקום', 'כניסה למכון וינגייט', 'כניסה לאודים (מערב)', 'מחלף חוף השרון', 'כניסה לוינגייט דרום']",True,True,True,True,True,0.0
מחלף חוף השרון - מחלף פולג,מחלף חוף השרון - מחלף פולג,20040.0,2,40,3,28.0,28,54.0,54,61.0,61,"[71, 73, 3936, 10246, 12375]","['כניסה ליקום', 'כניסה למכון וינגייט', 'כניסה לאודים (מערב)', 'מחלף חוף השרון', 'כניסה לוינגייט דרום']",True,True,True,True,True,0.0
,מחלף גשר השלום - כניסה לגשר הארי,20049.0,2,49,1,,3,,5,,2,"[77, 9668]","['מחלף גשר השלום', 'כניסה לנתניה רמת ידין']",False,False,False,False,False,10.0
,מחלף גשר השלום - כניסה לגשר הארי,20049.0,2,49,3,,27,,38,,31,"[77, 9668]","['מחלף גשר השלום', 'כניסה לנתניה רמת ידין']",False,False,False,False,False,96.0
מחלף פולג - מחלף גשר השלום,מחלף פולג - מחלף גשר השלום,20050.0,2,50,1,5.0,5,6.0,6,4.0,4,[75],['מחלף פולג'],True,True,True,True,True,0.0
מחלף פולג - מחלף גשר השלום,מחלף פולג - מחלף גשר השלום,20050.0,2,50,3,23.0,23,27.0,27,35.0,35,[75],['מחלף פולג'],True,True,True,True,True,0.0
מחלף גשר השלום - מחלף נתניה,כניסה לגשר הארי - מחלף נתניה,20051.0,2,51,1,5.0,2,10.0,5,4.0,2,[10684],['כניסה לגשר הארי'],False,False,False,False,False,-10.0
מחלף גשר השלום - מחלף נתניה,כניסה לגשר הארי - מחלף נתניה,20051.0,2,51,3,36.0,9,44.0,6,42.0,11,[10684],['כניסה לגשר הארי'],False,False,False,False,False,-96.0
מחלף נתניה - מחלף ינאי,מחלף נתניה - מחלף ינאי,20052.0,2,52,1,12.0,12,11.0,11,7.0,7,"[79, 81, 83, 10698]","['מחלף נתניה', 'כניסה לגבעת שפירא', 'מחלף חבצלת', 'כניסה לנתניה רח פרופ אלברט איי']",True,True,True,True,True,0.0
מחלף נתניה - מחלף ינאי,מחלף נתניה - מחלף ינאי,20052.0,2,52,3,60.0,60,87.0,87,101.0,101,"[79, 81, 83, 10698]","['מחלף נתניה', 'כניסה לגבעת שפירא', 'מחלף חבצלת', 'כניסה לנתניה רח פרופ אלברט איי']",True,True,True,True,True,0.0
מחלף ינאי - מחלף אולגה,מחלף ינאי - מחלף אולגה,20060.0,2,60,1,7.0,7,11.0,11,6.0,6,"[85, 10636, 87, 3923]","['מחלף ינאי', 'צומת אלכסנדר', 'גשר הולכי רגל', 'צומת בית חרות']",True,True,True,True,True,0.0
מחלף ינאי - מחלף אולגה,מחלף ינאי - מחלף אולגה,20060.0,2,60,3,52.0,51,79.0,79,80.0,79,"[85, 10636, 87, 3923]","['מחלף ינאי', 'צומת אלכסנדר', 'גשר הולכי רגל', 'צומת בית חרות']",True,False,True,False,False,-2.0
מחלף אולגה - מחלף קיסריה,מחלף אולגה - מחלף קיסריה,20062.0,2,62,1,1.0,1,4.0,4,5.0,5,[89],['מחלף אולגה'],True,True,True,True,True,0.0
מחלף אולגה - מחלף קיסריה,מחלף אולגה - מחלף קיסריה,20062.0,2,62,3,15.0,15,29.0,29,32.0,32,[89],['מחלף אולגה'],True,True,True,True,True,0.0
מחלף קיסריה - מחלף זכרון יעקב,מחלף קיסריה - מחלף זכרון יעקב,20070.0,2,70,1,4.0,4,9.0,9,10.0,10,"[91, 10005, 11159]","['מחלף קיסריה', 'מחלף אור עקיבא', 'כניסה למעגן מיכאל']",True,True,True,True,True,0.0
מחלף קיסריה - מחלף זכרון יעקב,מחלף קיסריה - מחלף זכרון יעקב,20070.0,2,70,3,19.0,19,39.0,39,45.0,45,"[91, 10005, 11159]","['מחלף קיסריה', 'מחלף אור עקיבא', 'כניסה למעגן מיכאל']",True,True,True,True,True,0.0
מחלף זכרון יעקב - מחלף עתלית,מחלף זכרון יעקב - מחלף עתלית,20080.0,2,80,1,4.0,4,4.0,4,8.0,8,"[93, 9814, 9970]","['מחלף זכרון יעקב', 'צומת דור', 'כניסה לבונים']",True,True,True,True,True,0.0
מחלף זכרון יעקב - מחלף עתלית,מחלף זכרון יעקב - מחלף עתלית,20080.0,2,80,3,17.0,17,14.0,14,26.0,26,"[93, 9814, 9970]","['מחלף זכרון יעקב', 'צומת דור', 'כניסה לבונים']",True,True,True,True,True,0.0
מחלף עתלית - מחלף חיפה דרום,מחלף עתלית - מחלף חיפה דרום,20090.0,2,90,1,7.0,7,10.0,10,9.0,9,"[95, 97]","['מחלף עתלית', 'מחלף חיפה דרום']",True,True,True,True,True,0.0
מחלף עתלית - מחלף חיפה דרום,מחלף עתלית - מחלף חיפה דרום,20090.0,2,90,3,19.0,19,18.0,18,23.0,23,"[95, 97]","['מחלף עתלית', 'מחלף חיפה דרום']",True,True,True,True,True,0.0
,,,2,999,1,0.0,,0.0,,1.0,,,,False,False,False,False,False,-1.0
,,,2,999,3,2.0,,2.0,,36.0,,,,False,False,False,False,False,-40.0
צומת אבא הלל - צומת הודיה,צומת אבא הלל - צומת הודיה,30010.0,3,10,1,2.0,2,6.0,6,6.0,6,"[99, 101, 103, 11519, 12236]","['צומת אבא הלל', 'כניסה לניר ישראל', 'צומת ניר ישראל', 'כניסה לכפר סילבר', 'צומת להודיה']",True,True,True,True,True,0.0
צומת אבא הלל - צומת הודיה,צומת אבא הלל - צומת הודיה,30010.0,3,10,3,14.0,13,18.0,18,14.0,14,"[99, 101, 103, 11519, 12236]","['צומת אבא הלל', 'כניסה לניר ישראל', 'צומת ניר ישראל', 'כניסה לכפר סילבר', 'צומת להודיה']",True,False,True,True,False,-1.0
צומת הודיה - צומת טוביה,צומת הודיה - צומת טוביה,30014.0,3,14,1,11.0,11,15.0,15,9.0,9,"[105, 107, 109, 111, 113, 115, 117, 3749, 3751, 3752, 9047]","['צומת הודיה', 'צומת נגבה', 'כניסה למשואות יצחק', 'כניסה למרכז שפירא', 'כניסה לעין צורים', 'צומת זרחיה-שפיר', 'כניסה לכפר ורבורג', 'צומת', 'צומת', 'צומת', 'כניסה לאביגדור']",True,True,True,True,True,0.0
צומת הודיה - צומת טוביה,צומת הודיה - צומת טוביה,30014.0,3,14,3,14.0,14,20.0,20,28.0,28,"[105, 107, 109, 111, 113, 115, 117, 3749, 3751, 3752, 9047]","['צומת הודיה', 'צומת נגבה', 'כניסה למשואות יצחק', 'כניסה למרכז שפירא', 'כניסה לעין צורים', 'צומת זרחיה-שפיר', 'כניסה לכפר ורבורג', 'צומת', 'צומת', 'צומת', 'כניסה לאביגדור']",True,True,True,True,True,0.0
צומת טוביה - כניסה לקריית מלאכי (דרום),צומת טוביה - כניסה לקריית מלאכי (דרום),30016.0,3,16,1,1.0,1,2.0,2,0.0,0,[119],['צומת טוביה'],True,True,True,True,True,0.0
צומת טוביה - כניסה לקריית מלאכי (דרום),צומת טוביה - כניסה לקריית מלאכי (דרום),30016.0,3,16,3,3.0,3,2.0,2,3.0,3,[119],['צומת טוביה'],True,True,True,True,True,0.0
כניסה לקריית מלאכי (דרום) - צומת מלאכי (קסטינה),כניסה לקריית מלאכי (דרום) - כניסה לקריית מלאכי,30020.0,3,20,1,7.0,6,4.0,2,8.0,4,[121],['כניסה לקריית מלאכי (דרום)'],False,False,False,False,False,-7.0
כניסה לקריית מלאכי (דרום) - צומת מלאכי (קסטינה),כניסה לקריית מלאכי (דרום) - כניסה לקריית מלאכי,30020.0,3,20,3,4.0,2,10.0,5,13.0,7,[121],['כניסה לקריית מלאכי (דרום)'],False,False,False,False,False,-13.0
,כניסה לקריית מלאכי - צומת מלאכי (קסטינה),30025.0,3,25,1,,1,,2,,4,"[123, 3722, 10958]","['כניסה לקריית מלאכי (צפון)', 'כניסה לתחנת דלק', 'כניסה לקריית מלאכי']",False,False,False,False,False,7.0
,כניסה לקריית מלאכי - צומת מלאכי (קסטינה),30025.0,3,25,3,,2,,4,,6,"[123, 3722, 10958]","['כניסה לקריית מלאכי (צפון)', 'כניסה לתחנת דלק', 'כניסה לקריית מלאכי']",False,False,False,False,False,12.0
צומת מלאכי (קסטינה) - צומת ראם (מסמייה),צומת מלאכי (קסטינה) - צומת ראם (מסמייה),30030.0,3,30,1,5.0,5,6.0,6,2.0,2,"[125, 127, 133, 3002, 3723]","['צומת מלאכי (קסטינה)', 'כניסה לערוגות', 'כניסה לתחנת דלק צומת ראם', 'צומת אחים', 'כניסה לתחנת דלק']",True,True,True,True,True,0.0
צומת מלאכי (קסטינה) - צומת ראם (מסמייה),צומת מלאכי (קסטינה) - צומת ראם (מסמייה),30030.0,3,30,3,15.0,14,18.0,18,12.0,12,"[125, 127, 133, 3002, 3723]","['צומת מלאכי (קסטינה)', 'כניסה לערוגות', 'כניסה לתחנת דלק צומת ראם', 'צומת אחים', 'כניסה לתחנת דלק']",True,False,True,True,False,-1.0
צומת ראם (מסמייה) - מחלף שורק,צומת ראם (מסמייה) - מחלף שורק,30040.0,3,40,1,7.0,7,6.0,6,1.0,1,"[131, 135, 137, 139, 141, 10278, 10912, 12094]","['צומת ראם (מסמייה)', 'צומת כפר מנחם', 'כניסה לרבדים', 'כניסה לבית חלקיה', 'כניסה ליד בנימין', 'כניסה לבני ראם מזרח', 'כניסה למ""א שער אברהם', 'כניסה לבני ראם']",True,True,True,True,True,0.0
צומת ראם (מסמייה) - מחלף שורק,צומת ראם (מסמייה) - מחלף שורק,30040.0,3,40,3,9.0,9,16.0,16,13.0,13,"[131, 135, 137, 139, 141, 10278, 10912, 12094]","['צומת ראם (מסמייה)', 'צומת כפר מנחם', 'כניסה לרבדים', 'כניסה לבית חלקיה', 'כניסה ליד בנימין', 'כניסה לבני ראם מזרח', 'כניסה למ""א שער אברהם', 'כניסה לבני ראם']",True,True,True,True,True,0.0
מחלף שורק - צומת נחשון (הגבורה),מחלף שורק - צומת נחשון (הגבורה),30045.0,3,45,1,4.0,4,4.0,4,8.0,4,"[142, 143, 145, 147, 149, 151, 4184, 4225]","['מפגש עם מסילת ברזל', 'כניסה ליסודות', 'כניסה לנחל שורק', 'כניסה לטל שחר', 'צומת חולדה', 'כניסה לטל שחר (מזרח)', 'מחלף שורק', 'צומת לשורק ']",True,True,True,False,False,-4.0
מחלף שורק - צומת נחשון (הגבורה),מחלף שורק - צומת נחשון (הגבורה),30045.0,3,45,3,13.0,11,32.0,27,30.0,25,"[142, 143, 145, 147, 149, 151, 4184, 4225]","['מפגש עם מסילת ברזל', 'כניסה ליסודות', 'כניסה לנחל שורק', 'כניסה לטל שחר', 'צומת חולדה', 'כניסה לטל שחר (מזרח)', 'מחלף שורק', 'צומת לשורק ']",True,False,False,False,False,-12.0
צומת נחשון (הגבורה) - צומת חטיבה שבע,צומת נחשון (הגבורה) - צומת חטיבה שבע,30050.0,3,50,1,1.0,1,1.0,0,6.0,6,"[153, 155, 157]","['צומת נחשון (הגבורה)', 'מחלף בקוע', 'מחלף נחשון - נווה שלום']",True,True,False,True,False,-1.0
צומת נחשון (הגבורה) - צומת חטיבה שבע,צומת נחשון (הגבורה) - צומת חטיבה שבע,30050.0,3,50,3,2.0,2,8.0,8,7.0,7,"[153, 155, 157]","['צומת נחשון (הגבורה)', 'מחלף בקוע', 'מחלף נחשון - נווה שלום']",True,True,True,True,True,0.0
צומת חטיבה שבע - מחלף לטרון,צומת חטיבה שבע - מחלף לטרון,30058.0,3,58,3,2.0,2,2.0,2,4.0,4,[161],['צומת חטיבה שבע'],True,True,True,True,True,0.0
מחלף לטרון - כניסה למודיעין מכבים רעות דרום,מחלף לטרון - כניסה למודיעין מכבים רעות דרום,30060.0,3,60,1,0.0,0,4.0,4,0.0,0,"[17, 169]","['מחלף לטרון', 'כניסה לפארק קנדה']",True,True,True,True,True,0.0
מחלף לטרון - כניסה למודיעין מכבים רעות דרום,מחלף לטרון - כניסה למודיעין מכבים רעות דרום,30060.0,3,60,3,10.0,10,16.0,16,12.0,12,"[17, 169]","['מחלף לטרון', 'כניסה לפארק קנדה']",True,True,True,True,True,0.0
כניסה למודיעין מכבים רעות דרום - כניסה למבוא חורון,כניסה למודיעין מכבים רעות דרום - כניסה למבוא חורון,30810.0,3,810,3,1.0,1,0.0,0,0.0,0,[9187],['כניסה למודיעין מכבים רעות דרום'],True,True,True,True,True,0.0
כניסה למבוא חורון - צומת בית חורון,,,3,820,1,0.0,,1.0,,0.0,,,,False,False,False,False,False,-1.0
כניסה למבוא חורון - צומת בית חורון,כניסה למבוא חורון - צומת בית חורון,30820.0,3,820,3,3.0,3,1.0,1,2.0,2,"[7004, 7005, 7006, 7007]","['כניסה למבוא חורון', 'כניסה לבית סירא (דרום)', 'כניסה לבית סירא (צפון)', 'צומת בית חורון']",True,True,True,True,True,0.0
,,,3,999,3,1.0,,3.0,,14.0,,,,False,False,False,False,False,-18.0
