zomet,kvish1,kvish2,KM,SHEM_ZOMET
1191,652,70,0,צומת שפיה
1199,70,722,331,מחלף התשבי
1199,722,70,0,מחלף התשבי
1201,70,75,392,צומת העמקים
1201,75,70,392,צומת העמקים
1209,70,79,530,צומת סומך
1209,79,70,72,צומת סומך
1211,70,781,544,צומת אבליים
1211,781,70,101,צומת אבליים
1213,70,781,548,צומת אעבלין
1213,781,70,102,צומת אעבלין
1219,70,805,633,צומת יבור
1219,805,70,0,צומת יבור
1227,70,85,661,צומת אחיהוד
1227,85,70,81,צומת אחיהוד
1247,70,89,787,צומת כברי
1247,89,70,46,צומת כברי
1265,71,675,249,צומת נבות
1265,675,71,126,צומת נבות
1277,71,669,312,צומת השיטה
1277,669,71,0,צומת השיטה
1285,71,90,422,צומת שאן
1285,90,71,3796,צומת שאן
1301,73,75,0,צומת נהלל
1301,7626,73,0,צומת נהלל
1301,75,73,274,צומת נהלל
1317,73,7255,63,צומת ברוך
1317,7255,73,179,צומת ברוך
1339,75,7513,339,צומת אלונים
1339,7513,75,58,צומת אלונים
1341,75,722,345,צומת השומרים
1341,722,75,52,צומת השומרים
1355,77,79,498,צומת המוביל
1355,79,77,177,צומת המוביל
1357,77,754,612,צומת בית רימון
1357,754,77,609,צומת בית רימון
1373,79,781,50,מחלף גלעם
1373,781,79,83,מחלף גלעם
1381,79,784,174,צומת יפתחאל
1381,784,79,0,צומת יפתחאל
1395,85,8534,188,צומת בענה
1395,8534,85,0,צומת בענה
1397,85,854,211,צומת כרמיאל
1397,854,85,0,צומת כרמיאל
1399,85,784,192,צומת כרמיאל מערב
1399,784,85,262,צומת כרמיאל מערב
1407,85,90,461,צומת עמיעד
1407,90,85,4345,צומת עמיעד
1409,87,90,0,צומת כפר נחום
1409,90,87,4273,צומת כפר נחום
1439,89,8833,72,צומת אשרת
1439,8833,89,0,צומת אשרת
1449,89,864,208,צומת חסן
1449,864,89,140,צומת חסן
1471,89,866,442,צומת מירון
1471,866,89,432,צומת מירון
1473,886,89,393,צומת עין זיתים
1473,89,886,486,צומת עין זיתים
1473,8900,89,486,צומת עין זיתים
1573,90,0,3977,צומת למנחמיה
1587,90,92,4038,צומת צמח
1587,98,90,0,צומת צמח
1587,92,90,0,צומת צמח
1617,90,8677,4409,צומת כפר הנשיא
1617,8677,90,0,צומת כפר הנשיא
1621,90,91,4435,צומת מחניים
1621,91,90,0,צומת מחניים
1629,90,899,4584,"צומת כ""ח"
1629,899,90,649,"צומת כ""ח"
1631,90,977,4645,צומת גומא
1631,977,90,0,צומת גומא
1651,91,918,67,צומת גדות
1651,918,91,150,צומת גדות
1671,92,789,168,צומת כורסי
1671,789,92,0,צומת כורסי
1767,222,232,1960,צומת גבולות
1767,232,222,221,צומת גבולות
1843,264,293,2083,צומת ליד בית קמה
1843,293,264,177,צומת ליד בית קמה
1865,325,0,103,כניסה ללהב
1910,375,386,161,צומת צור הדסה
1910,386,375,0,צומת צור הדסה
1921,386,3866,23,צומת נס הרים
1921,3866,386,90,צומת נס הרים
1923,386,396,158,צומת אבן ספיר
1923,396,386,0,צומת אבן ספיר
1935,395,3965,145,צומת הר איתן - סטף
1935,3965,395,130,צומת הר איתן - סטף
1951,411,0,117,כניסה לעקרון
1983,412,461,210,צומת יהוד (מערב)
1983,461,412,94,צומת יהוד (מערב)
2019,443,444,46,צומת בן שמן-מצבה
2019,444,443,43,צומת בן שמן-מצבה
2021,443,4314,49,צומת מודיעים (גימזו)
2021,4314,443,0,צומת מודיעים (גימזו)
2027,444,0,60,כניסה לבית נחמיה
2043,5,6,138,מחלף קסם
2043,444,5,231,מחלף קסם
2043,6,5,1420,מחלף קסם
2087,461,4622,78,צומת סביון
2087,4622,461,0,צומת סביון
2095,461,0,100,כניסה ליהוד
2141,554,5503,35,צומת בית ברל
2141,5503,554,0,צומת בית ברל
2167,574,581,158,צומת כלניות
2167,581,574,216,צומת כלניות
2264,672,721,401,צומת דמון
2264,721,672,113,צומת דמון
2291,722,0,18,כניסה לכפר יהושע
2325,784,805,179,צומת משגב
2325,805,784,91,צומת משגב
2449,977,9778,26,צומת כפר בלום
2449,9778,977,0,צומת כפר בלום
2645,6511,0,9,כניסה לאור עקיבא
2767,9088,9098,20,צומת קצרין צפון
2767,9098,9088,0,צומת קצרין צפון
2779,9778,9779,33,צומת שדה נחמיה
2779,9779,9778,51,צומת שדה נחמיה
3003,4,0,637,צומת אשקלון
3013,44,434,245,צומת מעשייהו (תעבורה)
3013,434,44,0,צומת מעשייהו (תעבורה)
3017,65,806,774,צומת עיילבון
3017,806,65,0,צומת עיילבון
3019,65,85,902,צומת נחל עמוד (קדרים)
3019,85,65,390,צומת נחל עמוד (קדרים)
3437,55,444,78,צומת לאלפי מנשה
3437,444,55,301,צומת לאלפי מנשה
3478,4612,471,6,צומת בר אילן (רמת אילן)
3478,471,4612,5,צומת בר אילן (רמת אילן)
3550,4,3631,726,צומת כפר הנוער ניצנים
3550,3631,4,0,צומת כפר הנוער ניצנים
3589,444,4613,122,צומת המחצבות
3589,4613,444,45,צומת המחצבות
3678,25,0,1834,כניסה לקאנטרי קלאב
3698,75,77,320,צומת ישי
3698,77,75,410,צומת ישי
3829,443,0,74,כניסה למתקן אדם (מערב)
3831,5,5050,150,צומת כפר קאסם (מערב)
3831,5050,5,0,צומת כפר קאסם (מערב)
3896,483,4872,30,צומת אפק
3896,4872,483,0,צומת אפק
3909,752,7212,34,צומת נשר
3909,7212,752,61,צומת נשר
3919,31,80,410,צומת תל ערד
3919,80,31,1973,צומת תל ערד
3982,65,0,500,צומת
3993,1,443,189,מחלף בן שמן
3993,443,1,42,מחלף בן שמן
4021,5,40,105,מחלף ירקון
4021,40,5,2940,מחלף ירקון
4036,444,465,135,"צומת גבעת כ""ח"
4036,465,444,0,"צומת גבעת כ""ח"
4037,25,80,1539,צומת ערערה בנגב
4037,80,25,1764,צומת ערערה בנגב
4048,4,8510,2345,צומת שמרת
4048,8510,4,52,צומת שמרת
4049,42,431,1024,מחלף עין הקורא
4049,431,42,126,מחלף עין הקורא
4050,4,85,2303,צומת עכו (מזרח)
4050,85,4,13,צומת עכו (מזרח)
4059,5,20,12,מחלף גלילות
4059,20,5,240,מחלף גלילות
4060,781,784,190,צומת מורשת
4060,784,781,114,צומת מורשת
4063,25,40,1725,צומת שרה
4063,40,25,1779,צומת שרה
4071,443,446,140,צומת שילת
4071,446,443,0,צומת שילת
4099,4,20,1000,מחלף חולות
4099,20,4,0,מחלף חולות
4104,40,55,3015,צומת כפר סבא רח' וייצמן
4104,55,40,49,צומת כפר סבא רח' וייצמן
4111,40,406,1735,צומת אוהלים (הנוקדים)
4111,406,40,1735,צומת אוהלים (הנוקדים)
4135,6,471,1360,מחלף נחשונים
4135,471,6,90,מחלף נחשונים
4158,444,471,175,צומת נחשונים
4158,471,444,98,צומת נחשונים
4170,4314,0,19,כניסה לגמזו
4175,40,406,1933,צומת גורל
4175,406,40,1933,צומת גורל
4177,4,431,1020,מחלף ראשון דרום
4177,431,4,116,מחלף ראשון דרום
4179,35,6,214,מחלף קריית גת
4179,6,35,784,מחלף קריית גת
4183,89,90,590,מחלף אליפלט
4183,90,89,4390,מחלף אליפלט
4186,431,4313,163,מחלף נס ציונה
4186,4313,431,0,מחלף נס ציונה
4188,6,44,1150,מחלף נשרים
4188,424,6,115,מחלף נשרים
4188,431,6,245,מחלף נשרים
4188,44,6,215,מחלף נשרים
4189,1,431,250,מחלף ענבה
4189,431,1,290,מחלף ענבה
4190,40,471,2880,צומת שערייה (דרום)
4190,471,40,60,צומת שערייה (דרום)
4193,1,6,229,מחלף דניאל
4193,6,1,1190,מחלף דניאל
4194,6,444,1220,מחלף בן שמן - ב'
4194,444,6,45,מחלף בן שמן - ב'
4198,40,531,3001,מחלף אלישמע
4198,531,40,100,מחלף אלישמע
4203,6,65,1850,מחלף עירון
4203,65,6,155,מחלף עירון
4204,6,61,1770,מחלף באקה-ג`ת
4204,61,6,130,מחלף באקה-ג`ת
4209,4,0,1080,כניסה לתחנת דלק סיירים
4217,264,0,2008,כניסה לרהט (דרום)
4219,40,431,2700,מחלף רמלה דרום
4219,431,40,216,מחלף רמלה דרום
4220,444,531,274,צומת ג`לג`וליה
4220,531,444,120,צומת ג`לג`וליה
4223,7,40,115,צומת גדרה (צפון)
4223,40,7,2537,צומת גדרה (צפון)
4237,5050,9330,43,כניסה לאורנית
4237,9330,5050,0,כניסה לאורנית
7012,436,443,58,צומת גבעת זאב
7012,443,436,310,צומת גבעת זאב
7013,45,436,5,צומת מחנה עופר
7013,443,45,314,צומת מחנה עופר
7013,436,45,70,צומת מחנה עופר
7024,449,4568,95,צומת מזרעה א-שרקיה דר'
7024,4568,449,0,צומת מזרעה א-שרקיה דר'
7116,1,90,957,צומת בית הערבה
7116,90,1,2871,צומת בית הערבה
7145,505,5066,343,צומת יקיר
7145,5066,505,0,צומת יקיר
7147,5,505,368,צומת אריאל
7147,505,5,380,צומת אריאל
7147,4775,5,0,צומת אריאל
7172,55,5444,90,צומת חבלה
7172,5444,55,0,צומת חבלה
7174,60,3157,640,צומת שיירות עציון (אפרתה דרום)
7174,3157,60,0,צומת שיירות עציון (אפרתה דרום)
7190,35,60,588,צומת העוקפים
7190,60,35,525,צומת העוקפים
7199,55,60,321,צומת עוקף שכם (דרום)
7199,60,55,1500,צומת עוקף שכם (דרום)
7222,60,437,975,צומת כיכר אדם
7222,437,60,90,צומת כיכר אדם
7222,9331,60,0,צומת כיכר אדם
7235,45,404,33,צומת עטרות
7235,404,45,0,צומת עטרות
7288,3507,0,20,צומת לפיד
8015,60,40,0,יישוב באר שבע (לערד)
8015,40,60,1791,יישוב באר שבע (לערד)
8017,44,0,400,צומת חולון
8026,60,65,2097,"יישוב עפולה (לת""א)"
8026,65,60,442,"יישוב עפולה (לת""א)"
8046,4,0,2172,צומת אתא
8052,20,0,144,מחלף לה-גרדיה
8053,20,0,161,מחלף השלום
8054,20,0,170,מחלף הרכבת
8055,20,0,182,מחלף ההלכה
8056,20,0,195,מחלף רוקח
8057,20,0,216,"מחלף קק""ל"
8061,20,441,44,מחלף משה דיין
8061,441,20,27,מחלף משה דיין
8062,20,0,60,מחלף קוממיות
8064,20,0,85,מחלף דב הוז
8065,20,0,99,מחלף וולפסון
8074,2,0,205,כניסה לתחנת דלק
9187,3,0,2750,כניסה למודיעין מכבים רעות דרום
9350,4,22,2095,מחלף חירם
9350,22,4,0,מחלף חירם
9378,20,431,20,מחלף מבוא איילון
9378,431,20,95,מחלף מבוא איילון
9387,6,70,1940,מחלף עין תות
9387,70,6,235,מחלף עין תות
9456,66,722,335,"צומת אזור תעשיות ית""ם"
9456,722,66,3,"צומת אזור תעשיות ית""ם"
9537,4,0,1198,כניסה לבני ברק דרך אם המושבות
9674,4313,44,74,צומת ניר צבי
9674,44,4313,276,צומת ניר צבי
9736,79,22,8,מחלף ביאליק
9736,22,79,125,מחלף ביאליק
