ishuv,SEMEL_RECHOV,SHEM_RECHOV
70,756,מבוא התנאים
70,758,יוחנן בן זכאי
70,759,"רשב""י"
70,760,מאיר בעל הנס
70,761,רבי טרפון
70,762,רבי יהודה הנשיא
70,766,שמאי
70,772,רב ינאי
70,801,המלך דוד
70,802,המלך שלמה
70,808,המלך יהוא
70,810,המלך אמציה
70,817,המלך שאול
70,818,ברק בן אבינועם
70,845,"תש""ח"
70,851,החלוצים
70,852,העצמאות
70,853,הקליטה
70,854,התקומה
70,856,הציונות
70,871,תפוח
70,6508,רובע ה
70,6530,רובע ז
70,6531,רובע א
70,6540,אזור המרינה
70,6552,חוף הקשתות
70,6560,נמל אשדוד
77,9000,איילת השחר
96,9000,יגור
98,111,עין חי
99,101,נחל גרופית
99,102,נחל מישר
99,130,בראשית דרך
99,134,הר צין
112,113,גבורי התהילה
113,9000,אדירים
122,102,האורן
122,118,הדקל
154,115,הדקל
154,118,האלון
154,151,מצדה
154,177,הפרדס
154,228,האנפה
154,234,הברוש
154,240,דרך הלורד
158,101,אולפן קיבוץ
162,107,הבנים
166,116,העצמאות
166,123,המגינים
166,124,קבוץ גלויות
166,126,הרצל
166,127,"אצ""ל"
166,131,בר יוחאי
166,144,אלי כהן
166,146,יבנאי יוסף
166,154,בן גוריון
166,184,החרוב
166,187,דרך קנדה
166,195,הכישור
166,199,העמל
166,204,הדס
166,220,דרך יצחק רבין
166,234,ברקאי
166,261,דרך ירושלים
166,283,בגין מנחם
166,362,חשמונאים
168,111,אלפסי
168,112,שד מנחם בגין
168,120,דן
168,124,ההדרים
168,174,גולני
168,182,הפקאן
168,204,העצמאות
168,216,הרצל
168,217,שרת
168,227,הברוש
168,253,השרון
171,101,דרך הצנחנים
171,110,שד בן גוריון
171,9000,פרדסיה
182,114,העצמאות
182,118,המחתרת
182,119,מרבד הקסמים
182,132,המיסדים
182,136,המתמיד
182,137,ההדרים
182,172,מעלה הארגמן
182,6514,ש עין יעקב
182,9000,אבן יהודה
195,111,הרצל
195,114,חנקין
195,123,גורדון
195,128,שד בן צבי
195,135,מימון
195,153,היסמין
195,167,שד הדקל
195,3120,דרך לב השרון צורן
195,3207,שד יצחק רבין צורן
195,6508,קדימה
195,6512,רח אזור התעשייה
198,9000,צופית
206,125,דרך הסולטן
224,101,הדקל
229,101,ים המלח
229,103,הנגב
229,116,העמקים
229,120,הרי יהודה
229,133,רבאון שלמה
229,135,הרמה
229,141,עין חנוך
229,164,דרך התקווה
229,170,הגליל
230,103,השלושה
233,103,הפרסה
240,122,סיגלית
240,133,המדע
240,160,התמר
240,210,שד יצחק רבין
240,224,יער אודם
240,225,החרמון
240,234,ירדן
240,235,הבניאס
246,101,הרב אבוחצירא
246,106,רב יוסף הכהן
246,107,"הרמב""ם"
246,112,ירושלים
246,113,מלכי ישראל
246,115,שבטי ישראל
246,116,רבי עקיבא
246,120,חזני
246,122,מויאל שמעון
246,124,הגבורים
246,128,אבן דנן
246,130,מסעוד אלפסי
246,132,ברית כהונה
246,141,בן גוריון
246,151,הרב צבאן
246,155,שד ויצמן
246,176,בעלי מלאכה
246,180,המסגר
246,181,"ד""ר סמלו יוסף"
246,185,תקומה
246,189,"פלמ""ח"
246,194,יובל
246,198,הצאלה
246,202,פרחי ישראל
246,221,ז'בוטינסקי
246,234,חיל שריון
246,237,אור לציון
246,239,נחלת שלמה
246,240,שפתי חיים
246,243,הרב גרשונוביץ
246,252,התמר
246,253,הגפן
246,258,אגס
246,269,חטיבת הראל
246,270,אחד עשר הנקודות
246,6507,שכ הורד
246,6513,שכ נטעים
246,6519,אזור תעשייה
247,105,הפרחים
247,108,הכפר
267,102,המעפילים
267,105,הזורע
287,6500,אחוזת פולג
316,101,האלון
316,102,ההדרים
331,101,איתן
331,9000,ניר צבי
382,106,דרך החוף
386,9000,בני דרור
409,9000,יחיעם
418,9000,בני ציון
443,9000,כפר הנשיא
449,104,שניר
464,9000,הראל
466,108,קפלן
466,109,טרומפלדור
466,111,"רמב""ן"
466,124,הזית
466,128,היובל
466,130,בגין מנחם
466,140,ורד
466,144,הגולן
469,102,התמר
469,107,ויצמן
469,112,הבנים
469,118,השיטה
469,119,מרבד הקסמים
469,120,שד יצחק רבין
469,126,אלי כהן
469,135,הרצל
469,160,רח 10
469,183,נרקיס
469,193,האירוס
469,194,החבצלת
469,195,הלוטם
469,215,חסן מלך מרוקו השנ
469,216,בוסי סנט ג'ורג'
469,6501,"ביל""ו סנטר"
472,101,דרך השלום
472,102,הוואדי
472,104,התמר
472,113,יסמין
472,131,עבדאל רחמן
472,136,הארזים
480,9000,בית ג'ן
485,9000,ג'ולס
494,3165,אבא חושי שד עספיא
496,9000,חורפיש
502,6720,מרכז הכפר
502,9000,ירכא
534,165,שד אבא חושי
535,9000,פסוטה
536,9000,פקיעין )בוקייעה(
542,9000,ריינה
543,9000,ראמה
549,101,אמנון ותמר
562,104,הרימון
562,105,התאנה
562,106,התמר
565,101,הרצל
565,107,ויצמן
565,110,כצנלסון
565,112,קפלן
565,118,יצחק שדה
565,122,סנש חנה
565,127,העליה השניה
565,129,ביאליק
565,134,דרך השבעה
565,135,שרת משה
565,138,בן צבי יצחק
565,139,ז'בוטינסקי
565,144,השבעה
565,157,שפרינצק
565,162,המצודה
565,163,השקמה
565,168,ירושלים
577,120,דרך האבות
578,9000,סאסא
587,103,השקמה
587,104,התיכון
587,128,השחר
587,150,החרמש
587,165,החורש
587,190,דוכיפת
587,3122,גן השקמים
591,117,הפרדס
594,101,הרימון
598,9000,בית קמה
618,9000,חדיד
634,101,א-סולטאני
634,176,א שוהדא
637,101,עארה
666,116,אשל
666,122,תמר
666,125,עד עד
681,101,שד העצמאות
681,103,יהודה הלוי
681,112,לוחמי הגטאות
681,116,ביאליק
681,125,בר אילן
681,127,ז'בוטינסקי
681,131,טרומפלדור
681,133,הזיתים
681,144,מבצע קדש
681,148,קרן היסוד
681,151,סמ רחל
681,161,הציונות
681,162,בן גוריון
681,166,רחבת קרן היסוד
681,170,הנשיא
681,204,הרימון
681,206,עוזי חיטמן
681,221,מוטה גור
681,226,יוני נתניהו
681,6507,שכ קרית ישראל
686,104,הפיקוס
705,9000,נחשונים
714,9000,ארז
745,9000,גמזו
747,9000,בית שקמה
757,107,סמטת האילן
759,106,התמר
812,104,הרב עוזיאל
812,105,אלבז נתן
812,107,הרב חזן מסעוד
812,111,אזור התעשיה
812,121,יפה נוף
813,9000,עין יעקב
828,9000,ישרש
831,138,בורנשטיין צבי
831,6500,שכ אלי כהן
831,6501,שכ בן גוריון
831,6504,נווה העמק
856,6500,נוף איילון
863,111,הדקל
874,106,האלונים
874,118,הנשיאים
874,120,דרך העמק
874,124,דרך העצמאות
874,137,העליה
874,138,קרן היסוד
874,172,נוף העמק
874,205,הערבה
874,207,נחל הצבי
874,241,שד הבנים
874,260,רח מס' 3
874,280,קריית החינוך
874,6502,רמת יזרעאל
874,6512,אזור תעשייה צפון
889,9000,כפר חסידים ב'
922,125,הכלניות
922,126,הנרקיסים
922,131,הורדים
922,150,דקל
922,156,חצב
944,106,אלזיתון
962,9000,טובא-זנגריה
1015,110,שבע אחיות
1015,112,מצפה הבירה
1015,113,הבוסתנים
1015,114,הכרמים
1015,115,הגפן
1015,121,מעלה הקסטל
1015,122,"הפלמ""ח"
1015,126,החוצבים
1015,134,שמעון
1015,154,הראל
1015,163,השלום
1015,166,הברוש
1015,170,האורן
1015,253,הרב ניסים יצחק
1015,261,הדרור
1015,272,כרמל
1015,275,חרמון
1015,306,הבושם
1015,323,שד החושן
1015,6001,ככר חלילים
1020,105,שד הנשיא וייצמן
1020,106,בלפור
1020,154,שד המלך דוד
1020,165,הרימון
1020,180,שד שידלובסקי
1020,181,האילן
1020,182,הזית
1020,220,אבן גבירול
1020,6508,"שכונת שז""ר"
1031,107,אלבז נתן
1031,108,מבצע סיני
1031,122,יחזקאל
1031,124,קרן היסוד
1031,127,"רמב""ם"
1031,129,יוספטל
1031,142,הבנים
1031,147,אורנים
1031,158,הרצל
1031,160,בן יהודה
1031,190,ירושלים
1031,203,יונה
1031,216,דרך העליה
1031,224,ברית ערים
1031,231,סמ הפלדה
1031,232,ניצן
1031,235,שד בגין מנחם
1031,251,השופטים
1031,258,בר-לב חיים
1031,275,המעפילים
1031,280,המכבים
1031,281,קהילת מילנו
1031,357,קופנהגן
1031,6504,נאות אשכול
1031,6514,אזור תעשיה
1034,101,ספרא
1034,103,שד בן גוריון
1034,104,ויצמן
1034,108,סאן דייגו
1034,118,הרצל
1034,129,בר יהודה
1034,135,אזור התעשיה
1034,139,ז'בוטינסקי
1034,145,"רש""י"
1034,148,"חב""ד"
1034,161,הורדים
1034,162,השושנים
1034,213,לסקוב חיים
1034,6501,אסבסטונים
1034,6507,ש בן גוריון
1060,9000,לקיה
1061,115,אורנים
1061,122,המלאכה
1061,145,דרך העמק
1061,149,יזרעאל
1061,158,דרך הציונות
1061,159,מעלה יצחק
1061,165,יעל
1061,251,אגמון
1061,263,ניצן
1063,112,בן גוריון
1063,121,ז'בוטינסקי
1063,125,"שז""ר זלמן"
1063,141,"מ""ג המעפילים"
1063,145,הכלנית
1063,180,ליבנה
1063,205,שרירא שלמה
1063,213,שד ירושלים
1063,222,"אצ""ל"
1063,240,שוהם
1063,302,מעלה המסגד
1063,315,השוק
1063,6007,ככר קרן היסוד
1063,6500,תרשיחא
1063,6524,אזור תעשיה
1063,9000,מעלות-תרשיחא
1066,101,בגין מנחם
1066,112,הדקל
1066,113,רבין יצחק
1066,127,דרך הנצחון
1139,102,התמר
1139,105,"צה""ל"
1139,106,העמק
1139,116,מעלה הכרמים
1139,117,החרושת
1139,118,המלאכה
1139,135,הנפח
1139,136,העסקים
1139,140,מורד הגיא
1139,142,משעול חצב
1139,147,השושנים
1139,152,מעלה כמון
1139,156,היוצרים
1139,160,החבצלת
1139,163,משעול דולב
1139,170,משגב
1139,171,רמים
1139,172,הפסגה
1139,174,שד נשיאי ישראל
1139,180,נשר
1139,184,חוחית
1139,188,שד השלום
1139,201,שגיא
1139,210,"שד קק""ל"
1139,257,אביב
1139,261,אסיף
1139,279,שביל כסלו
1139,285,שדמה
1139,288,אשכולות
1139,292,זמורה
1139,294,שד בית הכרם
1139,309,הכבאי
1139,316,דרך התעשייה
1139,353,הפלמח
1139,354,מבצע בן עמי
1139,356,חטיבת יפתח
1139,359,ההגנה
1139,6501,כפר הילדים
1139,6506,שכ האירוסים
1139,6507,גבעת רם
1139,6508,רמת רבין
1139,6514,אזור התעשייה
1149,117,סנונית
1161,102,שכ 18
1161,119,שכ 10
1161,6709,שכ 19
1161,6716,שכ 7
1165,106,דרך הזית
1167,151,הגשם
1167,155,השמש
1167,212,אודם-פארק התעשייה
1167,216,שוהם-פארק התעשייה
1167,222,שחם
1167,229,חלמיש
1167,6520,פארק התעשייה
1192,106,שכ 5
1200,100,עמק דותן
1200,105,כליל החורש
1200,112,לבונה
1200,120,עמק יזרעאל
1200,124,נחל געתון
1200,125,נחל דליה
1200,137,דרך פרופ' פרג יאי
1200,139,ערער
1200,140,עמק החולה
1200,144,נחל צין
1200,149,נהר הירדן
1200,153,נחל זוהר
1200,154,נחל יגור
1200,159,נחל צלמון
1200,160,עמק איילון
1200,165,חרצית
1200,166,חלמונית
1200,167,דבורנית
1200,171,לוע הארי
1200,173,תלתן
1200,176,דם המכבים
1200,182,צאלון
1200,184,שיר השירים
1200,205,שומרי החומות
1200,303,שדרות החשמונאים
1200,304,נחל ארנון
1200,305,שד יצחק רבין
1200,308,חיננית
1200,315,יהודה המכבי
1200,330,לב העיר
1200,401,אליהו הנביא
1200,403,דבורה הנביאה
1200,404,הנביאים
1200,405,זכריה הנביא
1200,413,חטיבת גולני
1200,415,חטיבת הצנחנים
1200,417,חטיבת הראל
1200,422,יחזקאל הנביא
1200,423,ירמיהו הנביא
1200,424,ישעיהו הנביא
1200,441,עמק בית שאן
1200,442,עמק האלה
1200,443,עמק זבולון
1200,450,"רא""ל דוד אלעזר"
1200,451,"רא""ל חיים ברלב"
1200,452,"רא""ל חיים לסקוב"
1200,453,"רא""ל יגאל ידין"
1200,454,"רא""ל יעקב דורי"
1200,455,"רא""ל מרדכי גור"
1200,456,"רא""ל מרדכי מקלף"
1200,602,יהודה
1200,603,לוי
1200,604,שרה אמנו
1200,619,לאה אמנו
1200,621,אסתר המלכה
1200,627,טיילת אבני חן
1200,630,עמק הארזים
1200,650,הלוח העברי
1200,652,חשון
1200,660,עמק חרוד
1200,700,אבני החושן
1200,701,יהלום
1200,703,אודם
1200,705,תרשיש
1200,708,לשם
1200,1500,השדרה המרכזית
1200,1501,שד המלאכות
1200,1506,האופה
1200,1507,הגנן
1200,1515,הקדר
1200,3131,"דרך ד""ר פלד ישראל"
1200,3142,"גבעת הלבונה מ""ר"
1200,3148,"הדרים מ""ר"
1200,3154,"עצמון מ""ר"
1200,3155,"ערבי נחל מ""ר"
1200,3170,"שד אורנים מ""ר"
1200,3172,"שדרת המכבים מ""ר"
1200,3196,"שדרת עומרים מ""ר"
1200,3254,"אביטל מ""ר"
1200,3262,"מבוא רעות מ""ר"
1200,6505,אזור התעשיה
1263,116,אשכר
1263,152,תבור
1264,112,רקפת
1268,101,דרך יתיר
1268,126,דרך מיתר
1268,127,קנאים
1268,313,עין נטפים
1271,102,ורד
1271,121,שד תמר
1271,124,רימון
1286,102,שכ 1
1286,9000,שגב-שלום
1292,101,ג'דיידה
1295,102,יאנוח
1296,101,כסרא
1296,102,כפר סמיע
1296,9000,כסרא-סמיע
1304,101,תרשיש
1304,132,החבל
1304,143,המצפה
1304,153,תבור
1304,166,המכבים
1304,168,צורן
1304,195,שד עמק איילון
1309,103,חוני המעגל
1309,105,רבי יהודה נשיא
1309,108,רבי חייא
1309,111,רבן יוחנן בן זכאי
1309,123,אבטליון
1309,125,שמעיה
1309,203,רבי יונתן בן עוזי
1309,205,שמעון הצדיק
1309,206,"רשב""י"
1309,209,"רמב""ם"
1309,213,רבי יהודה הלוי
1309,216,שמעון בן שטח
1309,220,אבן גבירול
1310,101,הרי ירושלים
1310,103,השקמה
1310,104,הזית
1310,105,הגולן
1315,105,הדר
1315,117,נוף השרון
1315,119,ורד
1319,113,גמלא
1319,129,שד עמק חפר
1326,101,ברטעה
1326,201,עין א-סהלה
1326,301,מועאוויה
1327,301,מושיירפה
1330,101,אירוסים
2003,9000,תלמי אלעזר
2006,9000,כנות
2009,9000,יובל
2034,103,הירדן
2034,104,דרך הבנים
2034,106,הנשיא ויצמן
2034,109,הגאולים
2034,116,"צה""ל"
2034,121,אזור התעשיה
2034,135,האורנים
2100,112,"לח""י"
2100,115,ביאליק
2100,116,הכלניות
2100,121,"י""א הספורטאים"
2100,204,אתגר
2100,210,המלאכה
2100,211,הפטיש
2100,305,סיני
2100,323,הברוש
2100,409,"הפלמ""ח"
2100,425,העצמאות
2100,431,מלחמת ששת הימים
2100,433,מוצקין
2100,434,הרצל
2100,435,הרב קוק
2100,436,"רמב""ם"
2100,439,ז'בוטינסקי
2100,447,לניאדו עזרא
2100,450,ויצמן
2100,454,גיורא
2100,458,ירושלים
2100,460,הרדוף
2100,471,מעלה נוף
2200,101,מלכה הנרי
2200,103,התאנה
2200,107,שד גולדה מאיר
2200,111,שד יגאל אלון
2200,146,הרצל
2200,159,"מ""ג המעפילים"
2200,161,מתתיהו הכהן
2200,163,המלאכה
2200,176,העצמאות
2200,177,המעפיל
2200,187,שד בן גוריון
2200,190,מרחבים
2200,199,השלוה
2200,209,דרך ברלב
2200,217,העליה
2200,226,דוד אלעזר
2200,254,"רחבת הלח""י"
2200,267,הרב אלנקוה
2200,271,הרב טייב
2200,275,שד הנשיא
2200,326,סחלבן החורש
2200,408,גמלא
2200,6502,שכ נווה דוד
2300,101,השקדים
2300,117,אלונים
2300,120,כלניות
2300,136,דרך קרית עמל
2300,138,התשבי
2300,141,זייד אלכסנדר
2300,145,הבונים
2300,151,המעיין
2300,157,כצנלסון
2300,160,בן צבי
2300,168,השומרים
2300,181,מעלה אבשלום
2300,6501,קרית חרושת
2400,102,כצנלסון
2400,104,העצמאות
2400,105,דגניה
2400,106,אלעזר דוד
2400,107,יוסף חיים
2400,114,החצב
2400,121,אבנר
2400,123,השקמה
2400,202,יהדות קנדה
2400,205,ההגנה
2400,206,החלוצים
2400,208,שפרינצק
2400,209,אסירי ציון
2400,210,ההסתדרות
2400,213,נתניהו יהונתן
2400,215,סקלאר
2400,216,שד בן פורת מרדכי
2400,219,היוזמים
2400,221,המלאכה
2400,223,החרושת
2400,224,העבודה
2400,227,אזור תעשיה אלמוג
2400,231,שד אלון יגאל
2400,239,דיין משה
2400,240,שד בן גוריון
2400,242,אטד
2400,243,בר לב חיים
2400,249,דקל
2400,254,צאלון
2400,270,סעדון אליהו
2400,302,התעשיה
2400,303,הראשונים
2400,308,קזז יחזקאל
2400,311,הרצל
2400,322,כביש לוד
2400,324,הרב כמוס עגיב
2400,326,פנקס צבי
2400,337,המפעל
2400,341,הגולן
2400,344,המכבים
2400,3105,"הרמ""א רמת פנקס"
2400,6512,שכ נווה רבין
2500,123,פרץ אברהם
2500,130,יפה נוף
2500,138,משה
2500,142,אשכולות
2500,173,דרך בר יהודה
2500,181,דרך הטכניון
2500,183,אורח חיים
2500,185,דרך השלום
2500,188,"צה""ל"
2500,192,קרן היסוד
2500,197,המרגנית
2500,199,הלוטם
2500,200,אורן
2500,201,הברוש
2500,202,הזית
2500,207,נתיב התאנה
2500,213,החרוב
2500,215,הנוריות
2500,216,השיטה
2500,220,התמר
2500,224,האלון
2500,251,המסילה
2500,259,הפלדה
2500,6522,שכ בן דור
2500,6525,שכ רמות יצחק
2500,6526,שכ תל חנן
2530,102,הרב עוזיאל
2530,107,מאיר בעל הנס
2530,112,ז'בוטינסקי
2530,119,אסף הרופא
2530,132,בן יוסף שלמה
2530,134,שא נס
2530,142,השושנים
2530,143,איילה
2530,144,דרך חיים
2530,149,יהודה
2530,157,הרב שפירא
2530,166,קרן היסוד
2530,169,שד האלונים
2530,170,שדרות יצחק רבין
2530,178,דיזנגוף
2530,222,נעמי שמר
2530,6502,נוה דורון
2530,6513,שכ תלמי מנשה
2550,101,לילינבלום
2550,108,פינס
2550,113,ויצמן
2550,117,אפרים
2550,123,רמז דוד
2550,127,הרצל
2550,133,סברדלוב
2550,135,הורביץ
2550,136,ביאליק
2550,150,שפירא
2550,163,מרבד הקסמים
2550,201,שד בן גוריון
2550,212,דרך הפרחים
2550,229,פרחי בר
2550,237,שד בגין מנחם
2550,244,ארז
2550,253,צאלה
2550,321,דרך הנחלים
2560,101,מואב
2560,122,הקנאים
2560,139,יאשיהו
2560,201,יהודה
2560,202,בן יאיר אלעזר
2560,207,חברון
2560,253,שמיר
2560,270,כביש 31
2560,289,יסמין
2560,404,דוכיפת
2560,452,יובל
2560,6516,אזור התעשיה
2600,103,ברנע
2600,105,אילות
2600,106,רודד
2600,109,חטיבת הנגב
2600,115,דרך הערבה
2600,117,שד יעלים
2600,119,חורב
2600,121,שד התמרים
2600,123,חטיבת גולני
2600,125,המלחה
2600,127,גן-בנימין
2600,133,נמל אילת
2600,135,סיני
2600,138,ירושלים השלמה
2600,139,לוס אנג'לס
2600,147,דרך יותם
2600,168,שד ארגמן
2600,171,חכליל
2600,177,שד ששת הימים
2600,178,שחמון
2600,184,מלון נפטון
2600,245,"הפלמ""ח"
2600,246,קאמן
2600,247,סמ שפיפון
2600,249,קאמפן
2600,255,דרך מצריים
2600,262,אריקה
2600,268,די זהב
2600,269,נביעות
2600,294,נחשון
2600,306,הבורסקאי
2600,328,התבונה
2600,331,האומן
2600,332,המלאכה
2600,339,הסוור
2600,346,סתונית
2600,348,הצפצפה
2600,349,ברקן
2600,355,דרבן
2600,360,החרש
2600,370,החותרים
2600,372,הספורטאים
2600,375,מלכת שבא
2600,411,משעול רוגן
2600,423,טופז
2600,442,ירדן
2600,461,דרדר
2600,464,הסיגלית
2600,529,אנטיב
2600,543,הים
2600,544,תרשיש
2600,545,שביל פעמי השלום
2600,560,נוף מדבר
2600,572,דרך הרים
2600,574,יהל
2600,575,החשמונאים
2600,576,עין נטפים
2600,583,העמונים
2600,608,משעול האגס
2600,617,משעול אשכולית
2600,626,נחל שחרות
2600,635,דרך הגיא
2600,644,עין עקרבים
2600,691,שופרון
2600,750,דרך התבלינים
2610,101,הרצל
2610,103,ז'בוטינסקי
2610,105,העליה
2610,112,המשלט
2610,113,הנשיא
2610,121,המעפילים
2610,123,ביאליק
2610,138,"אצ""ל"
2610,144,השבעה
2610,145,בן צבי
2610,148,אלון יגאל
2610,153,מורדי הגיטאות
2610,164,הרקפת
2610,166,האיריס
2610,169,הנרקיס
2610,174,הארזים
2610,186,"חיד""א"
2610,189,בן איש חי
2610,203,בר אילן
2610,205,"רש""י"
2610,212,חזון איש
2610,216,הרב הרצוג
2610,219,שפת אמת
2610,239,לוין אריה
2610,243,גלעד
2610,247,דרך רבין יצחק
2610,252,בן זאב יהודה
2610,258,רזיאל דוד
2610,269,האתרוג
2610,400,נחל דולב
2610,404,נחל קטלב
2610,410,נהר הירדן
2610,412,נחל איילון
2610,414,נחל לוז
2610,419,נחל הקישון
2610,422,נחל שורק
2610,436,נחל ערוגות
2610,443,נחל ניצנים
2610,450,בן עזאי
2610,470,"ריב""ל"
2610,471,רבן יוחנן בן זכאי
2610,492,שד נחל צאלים
2610,6001,ככר נוימן
2610,6500,אזור התעשיה צפון
2610,6501,גבעת שרת
2610,6531,רמת בית שמש ב
2610,6532,קרית החינוך
2620,114,קפלן
2620,120,הנשיא
2620,127,וולך
2620,133,לוס אנג'לס
2620,148,ירושלים
2620,168,שלמה המלך
2620,180,סנש
2620,199,יחזקאל
2620,210,אשכול לוי
2620,218,הרימון
2620,225,"צה""ל"
2620,231,השקמה
2620,236,קורצ'ק
2620,245,הזמיר
2620,248,עגנון
2620,249,שד בן גוריון
2620,251,הרוגי מלכות בבל
2620,259,אלון יגאל
2620,261,הר הכרמל
2620,267,עמק האלה
2620,283,שד קציר אהרון
2620,290,רבין יצחק
2620,301,דרך דורי יעקב
2620,304,המייסדים
2620,310,הפרדס
2620,6515,פרדס רייספלד
2630,112,שד לכיש
2630,113,שד גת
2630,118,המרגלית
2630,122,הקוממיות
2630,125,שד העצמאות
2630,130,הרמון
2630,139,הזית
2630,147,דרך הדרום
2630,149,הגפן
2630,166,הפרדס
2630,167,שמואל הנביא
2630,168,שד פולק ישראל
2630,174,שבטי ישראל
2630,175,אלישע
2630,180,דרך החרושת
2630,181,נפתלי
2630,280,שד השופטים
2630,281,דוד המלך
2630,284,מיכה
2630,285,שד מלכי ישראל
2630,330,אדוריים
2630,345,גאון הירדן
2630,391,היוצר
2630,398,חשון
2630,411,אבץ
2630,420,טופז
2630,428,המאבק
2630,441,"שד צה""ל"
2630,494,צורן
2630,6500,רובע בני ישראל
2630,6502,רובע גליקסון
2630,6506,רובע השופטים
2630,6508,רובע מלכי
2630,6510,ש הזרע
2630,6511,אזור המלאכה
2640,106,"הרש""ש"
2640,111,בן נון יהושע
2640,114,"צה""ל"
2640,115,נתן שאול
2640,123,"רש""י"
2640,124,שילה
2640,125,יהודה הלוי
2640,126,חזון איש
2640,142,שבזי
2640,143,אפק
2640,147,יחיא יצחק הלוי
2640,154,עמרני אברהם
2640,156,ארץ ישראל השלמה
2640,158,רבי אביץ יחיא
