NAME,SEMEL,ENGLISH_NAME,DISTRICT,NAPA,NATURAL_ZONE,MUNICIPAL_STANCE,METROPOLITAN,RELIGION,POPULATION,OTHER,JEWS,ARAB,FOUNDED,TZURA,IRGUN,CENTER,ALTITUDE,PLANNING,POLICE,YEAR,TAATIK
אבן ספיר,783,EVEN SAPPIR,1,11,111,26,444,1,728,0.7,0.7,,1950,310,1,2128463002,615,151,10002521,2017,Even Sappir
אבן שמואל,400,EVEN SHEMU'EL,6,61,612,34,,1,1941,1.9,1.9,,1956,350,,1775460940,155,631,10001813,2017,Even Shemu'el
אבני איתן,4011,AVNE ETAN,2,29,294,71,,1,700,0.7,0.7,,1978,310,2,2719674774,381,219,10004579,2017,Avne Etan
אבני חפץ,3793,AVNE HEFEZ,7,73,,72,,1,1836,1.8,1.8,,1990,370,11,2070868793,191,710,10003262,2017,Avne Hefez
אבנת,3786,AVENAT,7,75,,74,,1,201,0.2,0.2,,1983,370,,2414762075,-341,713,10003314,2017,Avenat
אבשלום,1311,AVSHALOM,6,62,622,38,,1,261,0.3,0.2,,1990,370,10,1361956745,91,651,10001893,2017,Avshalom
אדורה,3759,ADORA,7,77,,78,,1,440,0.4,0.4,,1984,370,9,2016960665,652,715,10003228,2017,Adora
אדירים,113,ADDIRIM,2,23,234,8,,1,277,0.3,0.3,,1956,310,1,2257971719,71,204,10000911,2017,Addirim
אדמית,1068,ADAMIT,2,24,244,4,,1,199,0.2,0.2,,1958,330,15,2199777600,449,201,10004302,2017,Adamit
אדרת,1123,ADDERET,1,11,112,26,444,1,919,0.9,0.9,,1961,310,1,1995861869,433,151,15000597,2017,Adderet
אודים,446,UDIM,4,41,411,19,141,1,1367,1.4,1.3,,1948,310,10,1858268581,12,401,15000060,2017,Udim
אודם,4010,ODEM,2,29,292,71,,1,131,0.1,0.1,,1976,320,6,2702878880,1050,219,10004579,2017,Odem
אוהד,1046,OHAD,6,62,622,38,,1,408,0.4,0.4,,1969,310,1,1458057199,131,651,10001893,2017,Ohad
אום אל-פחם,2710,UMM AL-FAHM,3,32,323,0,,2,54240,,,54.2,,250,,2145171399,310,354,10004249,2017,Umm al-Fahm
אום אל-קוטוף,2024,UMM AL-QUTUF,3,32,323,14,,2,1071,,,1.1,,450,,2055370835,138,351,10004233,2017,Umm Al-Qutuf
אום בטין,1358,UMM BATIN,6,62,623,69,342,2,3443,,,3.4,,290,,1886757656,329,624,10001937,2017,Umm Batin
אומן,1108,OMEN,2,23,234,8,,1,355,0.4,0.3,,1958,350,,2230271878,65,204,10000911,2017,Omen
אומץ,680,OMEZ,4,41,412,16,141,1,795,0.8,0.8,,1949,310,1,1996969743,33,409,15000060,2017,Omez
אופקים,31,OFAQIM,6,62,622,0,,1,27771,27.6,25.8,,1955,160,,1638657982,141,601,10001893,2017,Ofaqim
אור הגנוז,1294,OR HAGANUZ,2,21,212,2,,1,539,0.5,0.5,,1989,320,11,2421276781,732,209,10004528,2017,Or HaGanuz
אור הנר,67,OR HANER,6,61,614,37,,1,733,0.7,0.7,,1957,330,15,1620260736,56,651,10001829,2017,Or HaNer
אור יהודה,2400,OR YEHUDA,5,52,512,0,122,1,36706,36.6,35.9,,1950,160,,1863265962,29,510,10001516,2017,Or Yehuda
אור עקיבא,1020,OR AQIVA,3,32,324,0,,1,17759,17.7,16.4,,1951,170,,1927371262,15,353,10004261,2017,Or Aqiva
אורה,780,ORA,1,11,111,26,444,1,1388,1.4,1.3,,1950,310,1,2145762903,804,151,10002521,2017,Ora
אורון,1771, ,6,62,626,48,,,,,,,,520,,2014453557,,620,10001918,2017,
אורות,2012,OROT,6,61,611,33,143,1,515,0.5,0.5,,1952,310,1,1749262782,50,616,10001821,2017,Orot
אורטל,4013,ORTAL,2,29,292,71,,1,352,0.4,0.4,,1978,330,15,2712077700,885,219,10004579,2017,Ortal
אורים,403,URIM,6,62,622,38,,1,475,0.5,0.4,,1946,330,15,1545457936,94,651,10001893,2017,Urim
אורנים,882,ORANIM,3,31,311,12,222,1,182,0.1,0.1,,1951,340,,2104973529,75,301,10004207,2017,Oranim
אורנית,3760,ORANIT,7,73,,99,145,1,8655,8.6,8.5,,1985,180,,1995467087,125,718,10003262,2017,Oranit
אושה,278,USHA,3,31,311,12,222,1,483,0.5,0.5,,1937,330,15,2110474459,31,301,10004207,2017,Usha
אזור,565,AZOR,5,53,513,99,123,1,12701,12.7,12,,1948,170,,1819365900,25,509,10001430,2017,Azor
"אזור אילון מ""א 4",1852,,2,24,244,4,,,,,,,,530,,2196077510,,,,2017,
"אזור אילון מ""א 52",1851,,2,24,244,52,,,,,,,,530,,2266077360,,,,2017,
"אזור אילון של""ש",1853,,2,24,244,,,,,,,,,530,,2314076950,,,,2017,
"אזור אשדוד מ""א 29",1922,,6,61,613,29,,,,,,,,530,,1726063970,,,,2017,
"אזור אשדוד מ""א 33",1921,,6,61,613,33,,,,,,,,530,,1649062930,,,,2017,
"אזור אשדוד של""ש",1923,,6,61,613,,,,,,,,,530,,1681064050,,,,2017,
"אזור אשקלון מ""א 36",1924,,6,61,614,36,,,,,,,,530,,1663061620,,,,2017,
"אזור אשקלון מ""א 37",1926,,6,61,614,37,,,,,,,,530,,1637060210,,,,2017,
"אזור באר שבע מ""א 41",1937,,6,62,623,41,,,,,,,,530,,1807058120,,,,2017,
"אזור באר שבע מ""א 51",1938,,6,62,623,51,,,,,,,,530,,2240057100,,,,2017,
"אזור באר שבע של""ש",1939,,6,62,623,,,,,,,,,530,,1974056740,,,,2017,
"אזור בשור מ""א 38",1933,,6,62,622,38,,,,,,,,530,,1457057060,,,,2017,
"אזור בשור מ""א 39",1935,,6,62,622,39,,,,,,,,530,,1505059540,,,,2017,
"אזור בשור מ""א 42",1934,,6,62,622,42,,,,,,,,530,,1608057600,,,,2017,
"אזור גלילות מ""א 19",1907,,5,51,511,19,,,,,,,,530,,,,,,2017,
"אזור גרר מ""א 39",1931,,6,62,621,39,,,,,,,,530,,1572058820,,,,2017,
"אזור גרר מ""א 41",1929,,6,62,621,41,,,,,,,,530,,1725058920,,,,2017,
"אזור גרר מ""א 42",1930,,6,62,621,42,,,,,,,,530,,1679059410,,,,2017,
"אזור זכרון יעקב מ""א 15",1866,,3,32,322,15,,,,,,,,530,,2001072840,,,,2017,
"אזור זכרון יעקב של""ש",1867,,3,32,322,,,,,,,,,530,,2040072880,,,,2017,
"אזור חדרה מ""א 14",1873,,3,32,324,14,,,,,,,,530,,2012070620,,,,2017,
"אזור חדרה מ""א 15",1872,,3,32,324,15,,,,,,,,530,,1932070920,,,,2017,
"אזור חדרה מ""א 45",1871,,3,32,324,45,,,,,,,,530,,1999071630,,,,2017,
"אזור חדרה של""ש",1874,,3,32,324,,,,,,,,,530,,2029069980,,,,2017,
"אזור חולון של""ש",1909,,5,53,513,,,,,,,,,530,,1817066000,,,,2017,
"אזור חיפה מ""א 12",1860,,3,31,311,12,,,,,,,,530,,2104074200,,,,2017,
"אזור חיפה של""ש",1862,,3,31,311,,,,,,,,,530,,2088073220,,,,2017,
"אזור חצור מ""א 1",1813,,2,21,213,1,,,,,,,,530,,2545075990,,,,2017,
"אזור חצור מ""א 55",1814,,2,21,213,55,,,,,,,,530,,2584076640,,,,2017,
"אזור חצור של""ש",1815,,2,21,213,,,,,,,,,530,,2549076740,,,,2017,
"אזור יחיעם מ""א 2",1848,,2,24,243,2,,,,,,,,530,,2386075990,,,,2017,
"אזור יחיעם מ""א 4",1846,,2,24,243,4,,,,,,,,530,,2180076770,,,,2017,
"אזור יחיעם מ""א 52",1847,,2,24,243,52,,,,,,,,530,,2283076610,,,,2017,
"אזור יחיעם מ""א 56",1849,,2,24,243,56,,,,,,,,530,,2214075970,,,,2017,
"אזור יחיעם של""ש",1850,,2,24,243,,,,,,,,,530,,2325076540,,,,2017,
"אזור ים המלח מ""א 51",1942,,6,62,624,51,,,,,,,,530,,2340056200,,,,2017,
"אזור יקנעם מ""א 13",1836,,2,23,235,13,,,,,,,,530,,2121072800,,,,2017,
"אזור יקנעם מ""א 9",1835,,2,23,235,9,,,,,,,,530,,2115073310,,,,2017,
"אזור כינרות מ""א 3",1805,,2,22,221,3,,,,,,,,530,,2481074680,,,,2017,
"אזור כנרות מ""א 1",1816,,2,22,221,1,,,,,,,,530,,2528075660,,,,2017,
"אזור כנרות מ""א 6",1817,,2,22,221,6,,,,,,,,530,,2610074110,,,,2017,
"אזור כנרות של""ש",1818,,2,22,221,,,,,,,,,530,,0,0,,,2017,
"אזור כרמיאל מ""א 2",1843,,2,24,242,2,,,,,,,,530,,2339075980,,,,2017,
"אזור כרמיאל מ""א 56",1844,,2,24,242,56,,,,,,,,530,,2327075530,,,,2017,
"אזור כרמיאל של""ש",1845,,2,24,242,,,,,,,,,530,,2369075930,,,,2017,
"אזור לכיש מ""א 34",1919,,6,61,612,34,,,,,,,,530,,1769061100,,,,2017,
"אזור לכיש מ""א 35",1917,,6,61,612,35,,,,,,,,530,,1870061370,,,,2017,
"אזור לכיש מ""א 41",1920,,6,61,612,41,,,,,,,,530,,1888059260,,,,2017,
"אזור לכיש מ""א 50",1918,,6,61,612,50,,,,,,,,530,,1836060440,,,,2017,
"אזור מודיעין מ""א 25",1887,,4,43,431,25,,,,,,,,530,,2311074610,,,,2017,
"אזור מודיעין מ""א 30",1890,,4,43,431,30,,,,,,,,530,,2010069770,,,,2017,
"אזור מודיעין של""ש",1895,,4,43,431,,,,,,,,,530,,1833067310,,,,2017,
"אזור מלאכי מ""א 33",1911,,6,61,611,33,,,,,,,,530,,1755063200,,,,2017,
"אזור מלאכי מ""א 34",1915,,6,61,611,34,,,,,,,,530,,1766062160,,,,2017,
"אזור מלאכי מ""א 35",1913,,6,61,611,35,,,,,,,,530,,1816062200,,,,2017,
"אזור מלאכי מ""א 50",1914,,6,61,611,50,,,,,,,,530,,1780061800,,,,2017,
"אזור נהרייה מ""א 4",1855,,2,24,245,4,,,,,,,,530,,2125076910,,,,2017,
"אזור נהרייה של""ש",1856,,2,24,245,,,,,,,,,530,,2131076190,,,,2017,
"אזור עכו מ""א 4",1858,,2,24,246,4,,,,,,,,530,,2128075480,,,,2017,
"אזור עכו מ""א 56",1857,,2,24,246,56,,,,,,,,530,,2128075670,,,,2017,
"אזור עכו של""ש",1859,,2,24,246,,,,,,,,,530,,2127075860,,,,2017,
"אזור פתח תקווה מ""א 20",1888,,4,42,422,20,,,,,,,,530,,1933066570,,,,2017,
"אזור פתח תקווה מ""א 25",1886,,4,42,422,25,,,,,,,,530,,1984065740,,,,2017,
"אזור פתח תקווה של""ש",1889,,4,42,422,,,,,,,,,530,,1921066200,,,,2017,
"אזור ראשל""צ מ""א 27",1903,,4,44,442,27,,,,,,,,530,,1753064760,,,,2017,
"אזור ראשל""צ של""ש",1904,,4,44,442,,,,,,,,,530,,1755065150,,,,2017,
"אזור רחובות מ""א 28",1896,,4,44,441,28,,,,,,,,530,,1803064000,,,,2017,
"אזור רחובות מ""א 29",1899,,4,44,441,29,,,,,,,,530,,1721063800,,,,2017,
"אזור רחובות מ""א 30",1898,,4,44,441,30,,,,,,,,530,,1843064140,,,,2017,
"אזור רחובות מ""א 31",1901,,4,44,441,31,,,,,,,,530,,1832063450,,,,2017,
"אזור רחובות מ""א 32",1897,,4,44,441,32,,,,,,,,530,,1745063800,,,,2017,
"אזור רחובות של""ש",1902,,4,44,441,,,,,,,,,530,,1721064500,,,,2017,
"אזור רמלה מ""א 25",1892,,4,43,432,25,,,,,,,,530,,0,,,,2017,
"אזור רמלה מ""א 30",1891,,4,43,432,30,,,,,,,,530,,1891064330,,,,2017,
"אזור רמלה מ""א 40",1893,,4,43,432,40,,,,,,,,530,,1865065340,,,,2017,
"אזור רמלה של""ש",1894,,4,43,432,,,,,,,,,530,,1850065140,,,,2017,
"אזור רמת גן של""ש",1908,,5,52,512,,,,,,,,,530,,1864066110,,,,2017,
"אזור שפרעם מ""א 56",1841,,2,24,241,56,,,,,,,,530,,2266075010,,,,2017,
"אזור שפרעם מ""א 9",1840,,2,24,241,9,,,,,,,,530,,2179074200,,,,2017,
"אזור שפרעם של""ש",1842,,2,24,241,56,,,,,,,,530,,2183074930,,,,2017,
"אזור תל אביב של""ש",1905,,5,51,511,,,,,,,,,530,,0,,,,2017,
אזור תעסוקה משגב(תרדיון),1724, ,2,24,241,56,241,,,,,,,520,,2258875249,,205,10004513,2017,
"אזור תעשיה אכסאל מ""א 9",1865,,2,23,234,9,,,,,,,,530,,2325072360,,,,2017,
אזור תעשייה אכזיב (מילואות),1726, ,2,24,245,4,241,,,,,,,520,,2105277464,,201,10004302,2017,
אזור תעשייה נעמן (מילואות),1727, ,2,24,246,4,241,,,,,,,520,,2091475413,,201,10004315,2017,
אחווה,1157,AHAWA,6,61,611,33,143,1,293,0.3,0.3,,1976,350,,1782062796,61,616,10001821,2017,Ahawa
אחוזם,821,AHUZZAM,6,61,612,50,,1,539,0.5,0.5,,1950,310,2,1782260687,169,634,10001813,2017,Ahuzzam
אחוזת ברק,1330,AHUZZAT BARAQ,2,23,234,9,,1,2208,2.2,2.1,,1998,190,,2320072762,159,254,10000911,2017,Ahuzzat Baraq
אחיהוד,785,AHIHUD,2,24,246,4,241,1,859,0.9,0.9,,1950,310,1,2165275698,49,201,10004315,2017,Ahihud
אחיטוב,850,AHITUV,4,41,412,16,141,1,1091,1.1,1.1,,1951,310,1,1993269934,42,409,15000060,2017,Ahituv
אחיסמך,804,AHISAMAKH,4,43,432,25,142,1,1382,1.4,1.4,,1950,310,1,1914164918,69,424,10002261,2017,Ahisamakh
אחיעזר,797,AHI'EZER,4,43,432,40,133,1,1782,1.8,1.8,,1950,310,2,1879665440,40,425,10002261,2017,Ahi'ezer
אטרש (שבט),965,ATRASH,6,62,623,,,3,,,,,,460,,1940057520,,699,10001937,2017,Atrash
איבים,338,IBBIM,6,61,614,37,,1,379,0.4,0.1,,1991,340,,1629760477,84,651,10001829,2017,Ibbim
אייל,716,EYAL,4,42,421,20,141,1,506,0.5,0.5,,1949,330,15,1982567982,76,417,10002155,2017,Eyal
איילת השחר,77,AYYELET HASHAHAR,2,21,211,1,,1,1161,1.2,1.1,,1918,330,15,2541976987,173,253,10004540,2017,Ayyelet HaShahar
אילון,294,ELON,2,24,244,4,,1,980,1,0.9,,1938,330,15,2206177423,293,201,10004302,2017,Elon
אילון תבור*,1716, ,2,23,234,9,,,,,,,,520,,2343272676,,254,10004394,2017,
אילות,1126,ELOT,6,62,625,53,,1,322,0.3,0.3,,1962,330,15,1960538819,73,608,10001955,2017,Elot
אילנייה,49,ILANIYYA,2,22,222,3,,1,487,0.5,0.5,,1902,310,10,2384773998,239,206,10004552,2017,Ilaniyya
אילת,2600,ELAT,6,62,625,0,,1,50724,48.6,41.4,,1951,150,,1941738510,164,602,10001955,2017,Elat
אירוס,1336,IRUS,4,44,442,27,143,1,478,0.5,0.5,,2013,370,,1790164853,46,456,15002488,2017,Irus
איתמר,3762,ITAMAR,7,72,,72,,1,1199,1.2,1.2,,1984,370,11,2292167559,613,710,10003262,2017,Itamar
איתן,37,ETAN,6,61,612,34,,1,449,0.4,0.4,,1955,310,2,1761460898,156,631,10001813,2017,Etan
איתנים,886,ETANIM,1,11,111,26,444,1,72,0.1,0.1,,1952,340,,2091163181,765,151,15000597,2017,Etanim
אכסאל,478,IKSAL,2,23,237,99,,2,14245,,,14.2,,270,,2307173191,125,257,10000911,2017,Iksal
אל -עזי,1339,AL-AZY,6,61,611,35,,2,187,,,0.2,,450,,1809962556,93,632,10001821,2017,Al-Azy
אל -עריאן,1316,AL-ARYAN,3,32,323,14,,2,188,,,0.2,,450,,2120271154,367,351,10004233,2017,Al-Aryan
אל -רום,4003,EL-ROM,2,29,292,71,,1,381,0.4,0.4,,1971,330,15,2723178736,1049,219,10004579,2017,El-Rom
אל סייד,1359,AL SAYYID,6,62,623,69,342,2,3796,,,3.8,,290,,1917857711,376,624,10001937,2017,Al Sayyid
אלומה,1145,ALUMMA,6,61,611,34,,1,503,0.5,0.5,,1965,350,,1757561777,84,631,10001813,2017,Alumma
אלומות,330,ALUMMOT,2,22,221,6,,1,381,0.4,0.4,,1941,330,15,2515173475,30,214,10004552,2017,Alummot
אלון הגליל,1182,ALLON HAGALIL,2,23,237,9,242,1,1086,1.1,1.1,,1980,310,1,2209474026,203,254,10004497,2017,Allon HaGalil    
אלון מורה,3579,ELON MORE,7,72,,72,,1,1912,1.9,1.9,,1979,370,11,2314668228,661,710,10003262,2017,Elon More   
אלון שבות,3604,ALLON SHEVUT,7,76,,76,445,1,3213,3.2,3.2,,1970,190,,2120261805,953,714,15000586,2017,Allon Shevut
אלוני אבא,429,ALLONE ABBA,2,23,237,9,242,1,970,1,1,,1948,320,6,2163073721,152,254,10004411,2017,Allone Abba
אלוני הבשן,4017,ALLONE HABASHAN,2,29,292,71,,1,439,0.4,0.4,,1981,320,2,2786977222,958,219,10004579,2017,Allone HaBashan
אלוני יצחק,868,ALLONE YIZHAQ,3,32,324,14,,1,270,0.3,0.2,,1949,340,,2006271295,71,351,10004333,2017,Allone Yizhaq
אלונים,285,ALLONIM,2,23,235,9,242,1,482,0.5,0.5,,1938,330,15,2139173611,105,254,10004411,2017,Allonim
אלי-עד,4002,ELI-AD,2,29,294,71,,1,375,0.4,0.4,,1968,310,1,2691974579,368,219,10004579,2017,Eli-Ad
אליאב,1365,ELIAV,6,61,612,50,,1,361,0.4,0.4,,2013,370,,1934160409,363,634,10001813,2017,Eliav
אליכין,41,ELYAKHIN,4,41,411,99,141,1,3483,3.5,3.4,,1950,190,,1931870156,31,457,10004261,2017,Elyakhin
אליפז,1248,ELIFAZ,6,62,625,53,,1,150,0.1,0.1,,1982,330,15,2007941184,77,608,10001955,2017,Elifaz
אליפלט,730,ELIFELET,2,21,213,55,,1,623,0.6,0.6,,1949,310,1,2515276149,333,253,10004540,2017,Elifelet
אליקים,682,ELYAQIM,2,23,236,13,,1,884,0.9,0.9,,1949,310,1,2065872642,229,254,10000911,2017,Elyaqim
אלישיב,204,ELYASHIV,4,41,411,16,141,1,734,0.7,0.7,,1933,310,7,1917069855,16,409,15000060,2017,Elyashiv
אלישמע,841,ELISHAMA,4,42,421,20,142,1,1210,1.2,1.2,,1951,310,1,1934267328,27,417,10002133,2017,Elishama
אלמגור,1125,ALMAGOR,2,22,221,6,,1,383,0.4,0.4,,1961,310,1,2566875753,-18,214,10004540,2017,Almagor
אלמוג,3556,ALMOG,7,75,,74,,1,250,0.2,0.2,,1977,330,15,2437863294,-278,713,10003314,2017,Almog
אלעד,1309,EL'AD,4,42,422,0,142,1,46896,46.9,46.9,,1998,160,,1960566200,122,422,10002168,2017,El'ad
אלעזר,3618,EL'AZAR,7,76,,76,445,1,2571,2.6,2.6,,1975,190,,2135261872,919,714,15000586,2017,El'azar
אלפי מנשה,3750,ALFE MENASHE,7,73,,99,145,1,7801,7.8,7.6,,1983,180,,2014467560,184,703,10003262,2017,Alfe Menashe
אלקוש,603,ELQOSH,2,24,244,52,,1,302,0.3,0.3,,1949,310,1,2306077091,637,255,10004484,2017,Elqosh
אלקנה,3560,ELQANA,7,73,,99,145,1,3884,3.9,3.9,,1977,190,,2036366868,228,702,10003262,2017,Elqana
אמונים,772,EMUNIM,6,61,611,33,143,1,966,1,1,,1950,310,1,1694062801,31,616,10001821,2017,Emunim
אמירים,1064,AMIRIM,2,21,212,2,,1,813,0.8,0.8,,1950,310,1,2425676027,546,209,10004528,2017,Amirim
אמנון,1253,AMNUN,2,22,221,55,,1,313,0.3,0.3,,1983,310,6,2537975663,7,253,10004540,2017,Amnun
אמציה,23,AMAZYA,6,61,612,50,,1,465,0.5,0.5,,1955,320,9,1918460450,358,634,10001813,2017,Amazya
אניעם,4012,ANI'AM,2,29,293,71,,1,536,0.5,0.5,,1978,310,1,2695476260,426,219,10004579,2017,Ani'am
אסד (שבט),960,ASAD,6,62,623,,,3,,,,,,460,,1880058150,,699,10001937,2017,Asad
אספר,3754,ASFAR,7,77,,76,,1,729,0.7,0.7,,1983,370,8,2178461041,937,714,15000586,2017,Asfar
אעבלין,529,I'BILLIN,2,24,241,99,241,2,12990,,,13,,270,,2176574799,87,261,10004497,2017,I'billin
אעצם (שבט),963,A'SAM,6,62,623,,,3,,,,,,460,,1910056100,,699,10001937,2017,A'sam
אפיניש (שבט),959,AFEINISH,6,62,623,,,3,,,,,,460,,1990058000,,699,10001937,2017,Afaynish
אפיק,4301,AFIQ,2,29,294,71,,1,295,0.3,0.3,,1967,330,15,2660674275,339,219,10004579,2017,Afiq
אפיקים,176,AFIQIM,2,22,221,6,,1,1493,1.5,1.4,,1932,330,15,2544973191,-199,214,10004552,2017,Afiqim
אפק,313,AFEQ,2,24,246,4,241,1,630,0.6,0.6,,1939,330,15,2122974931,24,201,10004207,2017,Afeq
אפרת,3650,EFRAT,7,76,,99,445,1,9116,9.1,9.1,,1980,180,,2149861904,839,704,15000586,2017,Efrat
ארבל,701,ARBEL,2,22,222,3,,1,732,0.7,0.7,,1949,310,1,2456774647,47,206,10004552,2017,Arbel
ארגמן,3598,ARGAMAN,7,75,,75,,1,128,0.1,0.1,,1968,310,9,2495167550,-181,712,10003262,2017,Argaman
ארז,714,EREZ,6,61,614,37,,1,494,0.5,0.5,,1949,330,15,1588860773,41,651,10001829,2017,Erez
אריאל,3570,ARI'EL,7,73,,0,145,1,19626,19.4,15.8,,1978,170,,2180666795,521,701,10003262,2017,Ari'el
ארסוף,1324,ARSUF,4,41,411,19,141,1,178,0.2,0.2,,1995,350,,1828768007,39,401,15000060,2017,Arsuf
אשבול,71,ESHBOL,6,62,621,42,,1,562,0.6,0.6,,1955,310,1,1683959504,167,651,10001930,2017,Eshbol
אשבל,1276,ESHBAL,2,24,241,56,241,1,113,0.1,0.1,,1979,330,10,2288975354,270,205,10004513,2017,Eshbal
אשדוד,70,ASHDOD,6,61,613,0,143,1,222883,222.6,200.4,,1955,130,,1668963375,23,603,10001836,2017,Ashdod
אשדות יעקב (איחוד),199,ASHDOT YA'AQOV(IHUD),2,22,221,6,,1,996,1,1,,1933,330,15,2547172936,-200,214,10004552,2017,Ashdot Ya'aqov(Ihud)
אשדות יעקב (מאוחד),188,ASHDOT YA'AQOV(ME'UHAD),2,22,221,6,,1,475,0.5,0.4,,1933,330,15,2549172982,-200,214,10004552,2017,Ashdot Ya'aqov(Me'uhad)
אשחר,1188,ESHHAR,2,24,241,56,241,1,886,0.9,0.9,,1986,370,13,2284175455,363,205,10004513,2017,Eshhar
אשכולות,3722,ESHKOLOT,7,77,,78,,1,521,0.5,0.5,,1982,370,11,1909858882,589,715,10003228,2017,Eshkolot
אשל הנשיא,2021,ESHEL HANASI,6,62,622,42,344,1,349,0.3,0.3,,1952,340,,1711958167,192,651,10001893,2017,Eshel HaNasi
אשלים,1152,ASHALIM,6,62,626,48,,1,525,0.5,0.5,,1976,370,19,1713254166,327,620,10001918,2017,Ashalim
אשקלון,7100,ASHQELON,6,61,614,0,,1,137945,137.6,120.4,,1948,140,,1596761983,36,604,10001805,2017,Ashqelon
אשרת,1256,ASHERAT,2,24,245,4,,1,551,0.6,0.5,,1983,370,13,2148876406,57,201,10004302,2017,Asherat
אשתאול,740,ESHTA'OL,1,11,112,26,444,1,1267,1.3,1.2,,1949,310,1,2009563206,282,151,15000597,2017,Eshta'ol
באקה אל-גרביה,6000,BAQA AL-GHARBIYYE,3,32,324,0,,2,29035,,,29,,260,,2041570285,67,354,15002436,2017,Baqa Al-Gharbiyye                                 
באר אורה,21,BE'ER ORA,6,62,625,53,,1,871,0.8,0.8,,1950,370,19,1984240248,183,608,10001955,2017,Be'er Ora
באר גנים,1376,BE'ER GANNIM,6,61,614,36,,1,1024,1,1,,2012,370,,1629762325,31,633,10001805,2017,Be'er Gannim
באר טוביה,155,BE'ER TOVIYYA,6,61,611,33,143,1,1177,1.2,1.2,,1930,310,1,1738362694,53,616,10001821,2017,Be'er Toviyya
באר יעקב,2530,BE'ER YA'AQOV,4,43,432,99,133,1,22851,22.8,22,,1907,160,,1849465002,66,455,10002228,2017,Be'er Ya'aqov
באר מילכה,1278,BE'ER MILKA,6,62,626,48,,1,182,0.2,0.2,,2006,310,1,1432753827,217,620,10001918,2017,Be'er Milka
