kod,teur,SemelYeshuv
247,זייד ציפורה,28
248,רחל ינאית בן צבי,28
249,אהרונסון שרה,28
250,איזדורה דנקן,28
251,מארי קירי,28
252,מרתה גרהאם,28
253,רום יעל,28
254,נודל אידה,28
255,הלן קלר,28
256,וולפסון מילכה,28
257,שווילי הדסה,28
258,נאמן נחמה,28
259,בנודיז רחל,28
260,אשבל חיה,28
261,חסיה המיילדת,28
262,אלול רינה,28
263,גולדברג לאה,28
264,רביקוביץ דליה,28
265,שמר נעמי,28
266,אתר תרצה,28
267,ילין תלמה,28
268,דמארי שושנה,28
269,רובינא חנה,28
270,קדמן גורית,28
271,בארון דבורה,28
272,וולך יונה,28
273,גור בתיה,28
274,רחל המשוררת,28
275,טיכו אנה,28
276,לוי תנאי שרה,28
6002,כיכר האיכר,28
6500,ש וילות,28
6504,נאות הראשונים,28
6505,שכ בר לב,28
9000,מזכרת בתיה,28
101,דרך השמורה,29
102,האגם,29
103,האלונים,29
104,החלוצים,29
105,השקד,29
106,הגפן,29
107,החולה,29
108,המייסדים,29
109,הזית,29
110,הרימונים,29
111,הורדים,29
112,האילנות,29
113,הבוסתן,29
114,הפרדסים,29
115,התעשיה,29
116,המזח,29
117,הירדן,29
118,התאנה,29
119,התמר,29
120,האשכולית,29
121,השזיף,29
122,המגדל,29
6500,ש האגם,29
9000,יסוד המעלה,29
9000,עוצם,32
101,המייסדים,33
102,השסק,33
103,הגפן,33
104,הרימון,33
105,התאנה,33
106,הזית,33
107,השזיף,33
108,האפרסק,33
109,המשמש,33
110,משעול הלימון,33
111,משעול הצבר,33
112,משעול התפוח,33
9000,בת שלמה,33
101,בית ראשון במולדת,35
9000,גדות,35
101,המייסדים,36
102,מבוא ניצן,36
103,הפרחים,36
104,הזיתים,36
105,הכרמים,36
106,התאנה,36
107,נוף השדות,36
108,גן השקמים,36
109,ההולך בשדות,36
110,הרימון,36
9000,שדה דוד,36
6501,אחוזת ענוג,37
9000,איתן,37
9000,גפן,39
101,"הרש""ש",41
102,מרבד הקסמים,41
103,כנפי נשרים,41
104,שבזי,41
105,חבצלת השרון,41
106,"רמב""ם",41
107,בשמת,41
108,האירוס,41
109,הנורית,41
110,היסעור,41
111,החרצית,41
112,החצב,41
113,החופית,41
114,החוגלה,41
115,החוחית,41
116,השלדג,41
117,הפשוש,41
118,הזמיר,41
119,הסנונית,41
120,הדרור,41
121,האנפה,41
122,הסלעית,41
123,הורד,41
124,האיה,41
125,הכלנית,41
126,הנחליאלי,41
127,הסביון,41
128,הסחלב,41
129,הסייפן,41
130,העפרוני,41
131,הצבעוני,41
132,הצופית,41
133,הצפורן,41
134,השחף,41
135,התמר,41
136,שקד,41
137,הלילך,41
138,סיגלית,41
151,התאנה,41
152,הרימון,41
153,הגפן,41
154,היסמין,41
155,הנרקיס,41
156,הרקפת,41
6500,גבעת הבריכה,41
6501,שכ האלונים,41
9000,אליכין,41
101,הגורן,43
102,הראשונים,43
103,הארזים,43
104,מצפה החולה,43
105,החרמון,43
106,הלבנון,43
107,מצפה נפתלי,43
108,הדובדבן,43
109,המעיין,43
110,הצבעונים,43
111,התאנה,43
112,החצבים,43
113,מעלה ארז,43
114,מעלה הצפיה,43
115,האירוס,43
116,הנרקיס,43
117,הנורית,43
118,מעלה דדו,43
119,הנדיב,43
120,עיון,43
121,המורג,43
122,הטחנה,43
123,הרקפת,43
124,הזית,43
125,האשד,43
126,הבלוע,43
127,החקורה,43
128,הכלנית,43
129,המפל,43
130,הגולן,43
131,הסביון,43
132,הסחלב,43
133,הערבה,43
134,הרימון,43
135,התנור,43
136,הגפן,43
137,החורשה,43
138,האיכר,43
139,סמ הבוסתן,43
141,השמורה,43
6500,הרחבה חדשה,43
6501,שכ הרחבה ג,43
6502,אזור תעשייה,43
6505,ש דרום,43
6506,ש עמידר,43
6508,שכ הזיתים,43
6509,הר הצפייה,43
9000,מטולה,43
101,תאנה,44
102,זית,44
103,רימון,44
104,גפן,44
105,אורן,44
106,אלון,44
107,שקד,44
108,תמר,44
109,הדס,44
9000,זוהר,44
110,בן גוריון,46
111,נפתלי,46
112,המיסדים,46
114,סמדר,46
115,משמר השלושה,46
116,הגורן,46
121,דרך המושבות,46
122,בית אבות יוקרה,46
123,ישראל שרפמן,46
124,מעלה הגפן,46
125,רימון,46
126,סביון,46
127,חרציות,46
129,הרקפת,46
130,הכלנית,46
131,בית וגן,46
132,הנוטרים,46
133,אורן,46
134,המרגנית,46
135,ערבה,46
136,דרך הבקעה,46
137,חיים לבקוב,46
138,גרעין מסדה,46
139,יהודה,46
140,דרך ההר,46
141,דולב,46
142,הנרקיס,46
143,הרדוף,46
144,הרופאים,46
145,הדס,46
146,כרכום,46
147,עירית,46
148,מרווה,46
149,איזדרכת,46
151,עומר,46
152,מבצע מייקלברג,46
153,סיתוונית,46
154,דפנה,46
155,צמרת יבנאל,46
156,חטיבת גולני,46
157,שיזף,46
158,אלון,46
159,אלה,46
160,חלוצי תימן,46
161,סמטת השקד,46
162,סמטת התמר,46
163,סמטת הזית,46
164,המעיין,46
165,החרוב,46
166,שיקמה,46
167,מורג,46
168,לוטם,46
169,החיטה,46
170,מגל,46
171,דגן,46
172,טייסת הגליל,46
173,שיבולת,46
174,חצב,46
175,דקל,46
176,גפן,46
177,נורית,46
178,אירוס הגליל,46
6502,מעברת יבנאל,46
6505,ש עולים,46
6506,ש עמידר,46
6507,שכ התימנים,46
6508,שכ ישראל שרפמן,46
6509,בית גן,46
9000,יבנאל,46
101,שכ האלונים,47
102,שכ השקדים,47
103,שכ הרימונים,47
104,שכ השזיפים,47
105,שכ הגפנים,47
106,שכ הזיתים,47
107,שכ המיסדים,47
108,שכ הקוטגים,47
109,שכ התאנים,47
110,ביס שדה,47
111,שכ החרובים,47
112,שכ זמורה,47
115,נוף התבור,47
116,קורנית,47
117,שיזף,47
118,מרווה,47
119,דפנה,47
120,ריחן,47
121,הדס,47
122,עירית,47
123,נורית,47
124,אירוס,47
125,חצב,47
126,נרקיס,47
127,כלנית,47
128,צבעוני,47
129,דובדבן,47
130,ליבנה,47
131,ערבה,47
132,שיקמה,47
133,צפצפה,47
134,כליל החורש,47
135,אגוז,47
136,פקאן,47
137,שקד,47
138,צאלון,47
139,תות,47
140,אדר,47
141,סמ היקב,47
142,תאנה,47
143,יערה,47
144,תלתן,47
145,שעורה,47
146,חיטה,47
147,רימון,47
148,חרוב,47
149,המעיין,47
150,היוצר,47
151,החקלאי,47
152,מלאכה,47
153,חרושת,47
154,ורד,47
155,ברוש,47
156,חרצית,47
157,סייפן,47
158,לוטם,47
159,רקפת,47
160,עינב,47
161,זמורה,47
162,הדר,47
163,גפן,47
164,סיגלית,47
165,הזית,47
166,ברקן,47
167,מרגנית,47
168,השומר,47
169,המייסדים,47
170,החלוץ,47
171,גדוד העבודה,47
172,"לח""י",47
173,המגן,47
174,הרועה,47
175,הפלוגות,47
176,ההגנה,47
177,התקומה,47
178,העליה,47
179,מקווה ישראל,47
180,בר גיורא,47
181,המושבה,47
182,מעפילים,47
183,הנוטר,47
184,חובבי ציון,47
185,הגדוד העברי,47
186,"האצ""ל",47
187,"הפלמ""ח",47
188,אלה,47
189,אורן,47
190,אלון,47
191,שיטה,47
192,ארז,47
193,רותם,47
194,מורן,47
195,דולב,47
196,אשל,47
197,כרמים,47
198,ברקת,47
199,טופז,47
200,בזלת,47
201,ספיר,47
202,אודם,47
203,חושן,47
204,שוהם,47
205,יהלום,47
206,חלמיש,47
207,צור,47
208,גרניט,47
209,גזית,47
210,גביש,47
211,ענבר,47
212,תכלת,47
213,שחם,47
220,"שדרות קק""ל",47
221,תבור,47
223,הבריגדה היהודית,47
6001,כיכר השזיפים,47
6002,כיכר הערמונים,47
6003,כיכר אופירה,47
6004,כיכר התבור,47
6005,כיכר הברושים צפון,47
6006,כיכר הברושים דרום,47
6007,כיכר הזיתים,47
6008,כיכר זמורה,47
6009,כיכר הגפנים,47
6010,כיכר ירחן אהרון,47
6011,כיכר המורה ענתבי,47
6012,כיכר השומר,47
6013,כיכר ארליך אשר,47
6014,כיכר גנדי,47
6015,כיכר האלונים,47
6016,כיכר הברון רוטשילד,47
6017,ככר הברונית רוטשילד,47
6018,כיכר המועצה,47
6019,כיכר כהן יעקב משה,47
6020,כיכר גולדמן דוד,47
6021,כיכר אופיר מקס,47
6022,כיכר הברון הירש,47
9000,כפר תבור,47
101,המייסדים,48
102,הבנים,48
103,החקלאי,48
104,ההדרים,48
105,שבעת הבתים,48
106,קרן היסוד,48
107,משעול הדרור,48
108,הגפן,48
109,הרקפת,48
110,הירדן,48
111,הזיתים,48
112,הרימון,48
113,הדקל,48
114,משעול הזמיר,48
115,משעול שלדג,48
116,משעול העפרוני,48
117,משעול כנרית,48
118,משעול הסנונית,48
119,עמק הירדן,48
120,הדוכיפת,48
121,התאנה,48
122,הכלנית,48
6500,ש וילות,48
6501,שכ עופר,48
9000,מנחמיה,48
101,מעלה גולני,49
102,הגורן,49
103,הצבר,49
104,הגת,49
105,הזית,49
106,"מח""ל",49
107,החאן,49
108,המושבה,49
109,דרך הברוש,49
110,אל המעיין,49
111,האלונים,49
112,מגדל המים,49
113,נוף תבור,49
7001,חות השומר,49
9000,אילניה,49
101,שקד,52
102,ערבה,52
103,אורן,52
104,תאנה,52
105,רימון,52
106,אלה,52
107,צפצפה,52
108,דקל,52
109,חרוב,52
110,אשל,52
111,אלון,52
112,ברוש,52
113,ארז,52
114,זית,52
9000,לוזית,52
102,המבצר,53
103,הכלניות,53
104,הגורן,53
105,הבציר,53
106,משעול האשכולות,53
109,החורש,53
110,העליה,53
111,מרכז קליטה,53
112,המייסדים,53
114,השקד,53
115,האגוז,53
116,האורן,53
117,האשל,53
119,ההרדוף,53
120,הנרקיסים,53
121,נתיב הכרמים,53
122,דרך הים,53
123,הרימון,53
124,הסלע,53
125,משעול הגפנים,53
126,הרקפת,53
127,הורד,53
128,האיריס,53
129,הלילך,53
130,אמת המים,53
131,גבעת הבריכות,53
132,סמ הלוטם,53
134,האלון,53
135,סמ הנורית,53
136,סמ הסיגלית,53
137,סמ הברוש,53
138,סמ התמר,53
139,הסביון,53
140,סמ המרגנית,53
141,סמ היסמין,53
142,סמ הארז,53
144,גבעת סביון,53
145,גבעת שרון,53
146,יפה נוף,53
147,התכלת,53
148,חצרות איכרים,53
149,הדקל,53
150,הסייפן,53
151,הארגמן,53
152,חופית,53
153,הלוטוס,53
154,הסחלב,53
155,דרך הבנים,53
156,היקינטון,53
157,שושנת הים,53
158,הפקאן,53
159,הגיבורים,53
160,נחל אורן,53
161,נחל ברקן,53
162,נחל דליה,53
163,נחל ספונים,53
164,נחל שלף,53
165,נחל גלים,53
166,נחל אלונה,53
167,נחל בוסתן,53
168,נחל הוד,53
170,הצבעוני,53
171,סמ האלמוג,53
172,מלח הארץ,53
173,המעיין,53
174,אנפה,53
175,תמירון,53
176,חוות אהרונסון,53
177,שלדג,53
178,שחף,53
179,פלמינגו,53
180,דרך השדות,53
181,קציר,53
182,הקלשון,53
183,מחרשה,53
184,חמניה,53
185,מזמרה,53
186,אסיף,53
187,חרמש,53
188,כותנה,53
189,מורג,53
190,מגל,53
191,תלם,53
192,החיטה,53
193,התירוש,53
194,הגת,53
195,הגפן,53
196,היקב,53
197,הכרם,53
198,הזמורה,53
199,השריג,53
201,המחתרות,53
202,החרוב,53
203,הלוחמים,53
204,הזית,53
205,המגינים,53
206,כלנית,53
207,התקומה,53
208,חבצלת,53
209,חרצית,53
210,עין הים,53
211,מפרש,53
212,עוגן,53
213,התורן,53
214,שונית,53
215,מכמורת,53
216,שייטים,53
217,דגה,53
218,לגונה,53
219,סירה,53
220,חצב,53
221,רותם,53
222,שושן,53
223,סתוונית,53
224,כרכום,53
225,פרג,53
226,התאנה,53
227,משוט,53
228,דרך הבריכות,53
6500,מושבה א,53
6501,מושבה ב,53
6502,מעברה,53
6503,נוה דקל,53
6504,נוה משה,53
6505,ש חדש,53
6506,ש עמידר,53
6508,שכ אלון,53
6509,שכ הדרום,53
6510,שכ חברת המלח,53
6511,שכ קנדי,53
6512,שכ ארגמן,53
6513,בריטיש קוטג',53
6514,סביוני עתלית,53
6515,שכ יפה נוף,53
6516,שכ שושנת הים,53
6517,גני עתלית,53
6518,גבעת הפרחים,53
6519,שכ חופית,53
6520,שכ נחלים,53
6523,לב עתלית,53
9000,עתלית,53
101,שדרות הרקפת,55
102,התמר,55
103,הזית,55
104,הרימון,55
105,הכלנית,55
106,התאנה,55
107,הסיגלית,55
108,הוורד,55
109,הגפן,55
110,רותם,55
9000,נוגה,55
9000,כנרת (קבוצה),57
9000,מצפה,58
9000,נחושה,59
9000,דגניה א',62
101,דרך הבזלת,63
102,דרך הכלניות,63
103,נוף הים,63
104,הגורן,63
105,רחל,63
106,האומנים,63
107,הראשונים,63
108,חוף הירדן,63
109,המייסדים,63
110,דרך הזיתים,63
111,סמטת הארמון,63
112,מעלה הבריכה,63
113,סמטת המדרגות,63
114,סמטת המוזיאון,63
115,המצפה,63
116,הרדוף,63
117,נורית,63
118,סביון,63
119,חרצית,63
120,מעלה ההר,63
121,לשם,63
122,יצהר,63
123,המסיק,63
124,הכרם,63
125,דרך המעיין,63
126,האגם,63
127,סמטת הנחל,63
128,הפלג,63
6500,גבעת הזיתים,63
6501,שכ הכלניות,63
6502,שכ' הבזלת,63
6503,שכ המעיין,63
9000,כנרת (מושבה),63
9000,"יד רמב""ם",64
101,מעון נופים,65
102,כפר נופש חוף הואי,65
103,האירוסים,65
104,האלה,65
105,האלון,65
106,האשכולית,65
107,הברוש,65
108,הגפן,65
109,הדר,65
110,ההרדופים,65
111,הזית,65
112,החצב,65
113,החרוב,65
114,החרצית,65
115,היערה,65
116,היקינטון,65
117,הכלניות,65
118,הכרכום,65
119,המייסדים,65
120,המנגו,65
121,המעיין,65
122,הנורית,65
123,הסביון,65
124,הסחלב,65
125,הערבה,65
126,הצאלון,65
127,הצבעוני,65
128,הראשונים,65
129,הרקפת,65
130,השיזף,65
131,השיטה,65
132,התאנה,65
133,התמר,65
134,חרמון,65
135,נוף הארבל,65
136,נוף כנרת,65
137,עירית,65
138,נוף הגליל,65
139,הרימון,65
140,הרותם,65
7001,וילה מלצט,65
7002,טבחה,65
7003,כרי דשא,65
9000,מגדל,65
101,אולפן,66
102,בית ראשון במולדת,66
103,ארז,66
104,ערבה,66
105,התמר,66
106,האלה,66
107,תאנה,66
108,אשל,66
109,זית,66
110,דרך האורן,66
111,משעול הברוש,66
112,משעול הצפצפה,66
113,דרך החרוב,66
114,משעול הדקל,66
115,משעול הרימון,66
116,משעול כליל החורש,66
117,דרך הפיקוס,66
118,דרך האקליפטוס,66
119,דרך הפקאן,66
120,שיזף,66
121,ליבנה,66
122,שיטה,66
123,שקד,66
9000,מרחביה (קיבוץ),66
9000,אור הנר,67
9000,ניר עוז,69
9000,אשבול,71
9000,גן שמואל,72
9000,עין הוד,74
101,בית ראשון,76
7001,תל חי,76
9000,כפר גלעדי,76
101,איילת השחר (מ ק),77
9000,איילת השחר,77
9000,קרית ענבים,78
9000,דגניה ב',79
101,ביס חקלאי תיכון,80
9000,נהלל,80
9000,עין חרוד (מאוחד),82
9000,תל יוסף,84
101,העיגול,85
102,מנחם,85
103,הרכבת,85
104,הרחבה,85
9000,כפר יחזקאל,85
9000,גבע,86
9000,כרם בן שמן,88
9000,עין חרוד (איחוד),89
9000,חפצי-בה,90
101,בית ראשון במולדת,92
102,דרך הראשונים,92
103,דרך המפעל,92
104,דרך הכרמים,92
105,דרך החשמל,92
106,דרך הרפת,92
107,שדרת הדקלים,92
108,אל היער,92
109,שיכון ל,92
110,עלי גבעה,92
111,המקומרים,92
112,לינה כפרית,92
113,שדרת הזיתים,92
114,החינוך המשותף,92
115,הצעירים,92
116,שביל האולפן,92
117,הפסגה,92
118,דרך הגבעות,92
119,משמר הוולגה,92
120,הטבעונים,92
121,שכונת הדר,92
122,דרך הדשאים,92
123,חלוצי דגניה ג',92
124,השכונה הדרומית,92
125,האשכולית,92
126,הפומלית,92
127,התפוז,92
128,היער המכושף,92
9000,גיניגר,92
101,בית ראשון במולדת,94
102,הגפן,94
103,התאנה,94
104,התמר,94
105,השעורה,94
106,הזית,94
107,הרימון,94
108,שבעת המינים,94
109,החיטה,94
9000,בלפוריה,94
101,אולפן,95
102,מרכז קליטה גלבוע,95
9000,בית אלפא,95
101,בית ראשון במולדת,96
102,אולפן קיבוץ,96
103,שביל הברושים,96
104,שביל התאנה,96
105,שביל הסילו,96
106,שביל החיטה,96
107,שביל התלתן,96
108,שביל הסליק,96
109,שביל מגדל המים,96
110,שביל הצאלון,96
111,דרך הכרמל,96
112,דרך עמק זבולון,96
113,כביש השלום,96
114,דרך הראשונים,96
115,שביל הסכר,96
116,סמ' ההר הקירח,96
117,שביל הכתר,96
118,מעלה הוואדי,96
119,שביל הנרקיסים,96
120,מעלה המצוקים,96
121,סמ' השקדיה,96
122,דרך הרכבת,96
123,דרך הכרם,96
124,שביל האיזדרכת,96
125,שביל האקליפטוס,96
126,שביל השיקמה,96
127,שביל האגוז,96
128,שביל הסנדלריה,96
129,דרך הלימון,96
130,שביל האנפה,96
131,שביל הדוכיפת,96
132,שביל העפרוני,96
133,שביל הנחליאלי,96
134,שביל השלדג,96
135,שביל הפיקוסים,96
136,שביל הגבעות,96
138,דרך הכרכום,96
139,שביל הסתוונית,96
140,שביל הכלנית,96
141,דרך שומר המסילה,96
142,שביל החלב,96
143,דרך הלולים,96
144,דרך אחווה,96
145,דרך חדר האוכל,96
146,דרך המשתלה,96
147,דרך יד למגינים,96
148,דרך הטווס,96
149,דרך הפרדס,96
150,דרך התעשייה,96
151,כביש כפר חסידים,96
152,דרך הקישון,96
153,כביש ההר הירוק,96
154,שביל הנוריות,96
155,שביל היקינתון,96
6500,שכונת הלול,96
6501,שכונת הסילו,96
6502,שכונת הכרמל,96
6503,שכונת ההר,96
6504,שכ' גבעת המכוורת,96
6506,שכונת הכרם,96
6507,שכונת בלוקונים,96
6508,שכונת האיזדרכת,96
6509,"שכונת הנה""ח",96
6510,שכונת הכביש,96
6511,שכונת המשתלה,96
9000,יגור,96
101,הברוש,97
102,מול ההר,97
103,הגפן,97
104,מול העמק,97
105,יפה נוף,97
106,הזיתים,97
107,בתי הראשונים,97
108,המושבה,97
109,החיטה,97
110,הגורן,97
111,סמטת הדגן,97
112,השעורה,97
9000,מרחביה (מושב),97
101,מוסד יד אסא,98
102,הצנחנים,98
103,המיסדים,98
104,הלימון,98
105,בן גמלא יהושע,98
106,הפרחים,98
107,דרך השרון,98
108,הזית,98
109,האלונים,98
110,דרך השדות,98
111,עין חי,98
112,הבנים,98
113,שרת,98
114,המנצח,98
9000,"כפר מל""ל",98
101,נחל גרופית,99
102,נחל מישר,99
103,דרך רמון,99
104,עין עבדת,99
105,הר עריף,99
107,נחל ציחור,99
108,נחל האלה,99
109,נחל ערבה,99
110,שד בן גוריון,99
111,נחל נקרות,99
112,נחל ערוד,99
113,נחל חוה,99
114,מעלה מחמל,99
115,הר שגיא,99
116,הר קירטון,99
117,הר עודד,99
118,הר ארדון,99
120,נחל ציה,99
121,הר קטום,99
122,הר חמת,99
123,הר נפחא,99
124,הר אלדד,99
125,נחל רעף,99
126,שד הר הגמל,99
127,גנדי (רחבעם זאבי),99
128,השיטה,99
129,מעלה בן תור,99
130,דרך בראשית,99
131,דרך צלילי מדבר,99
132,דרך שפת המדבר,99
133,מושבת האומנויות,99
134,הר צין,99
135,עין עופרים,99
136,עין זיק,99
137,מעלה הדקל,99
138,עין סהרונים,99
139,עין מור,99
140,עין עקב,99
141,עין משק,99
142,עין המערה,99
143,"שדרות קק""ל",99
144,טיילת אלברט כץ,99
145,נחל סרפד,99
146,הר בוקר,99
147,נחל סלעית,99
148,עין שחק,99
149,דרך מצפה הכוכבים,99
150,אזור התעשיה,99
151,נחל כרכום,99
152,עין שביב,99
153,נחל ברק,99
154,נחל גוונים,99
155,נחל פארן,99
159,נחל חולית,99
160,נחל מנוחה,99
161,נחל רעים,99
162,נחל חמדה,99
163,נחל סירה,99
164,נחל ורדית,99
166,נחל אילות,99
167,נחל טרשים,99
168,נחל ניצנה,99
169,נחל צניפים,99
170,החצב,99
171,האירוס,99
172,הצבעוני,99
173,סמטת קרני רמון,99
6500,ש צבא קבע,99
6501,שכון ד,99
6502,רמת ספיר,99
7001,מחנה טלי,99
7002,כלא נפחא,99
7003,חוות האלפקות,99
7004,"בי""ס שדה הר הנגב",99
7005,סוכה במדבר,99
9000,מצפה רמון,99
9000,מאיר שפיה,102
101,אגוז,103
102,אגס,103
103,רימון,103
104,תאנה,103
105,תמר,103
106,תפוח,103
107,העולים,103
108,שזיף,103
109,גפן,103
110,המטע,103
111,היקים,103
112,תות,103
113,הברושים,103
114,הבוץ,103
115,החרוב,103
116,הראשונים,103
117,האורן,103
118,סמטת החורש,103
119,דרך אלומה,103
6500,שכ אלומה,103
9000,תל עדשים,103
