zomet,ishuv,rehov1,rehov2
60001,240,160,163
130001,240,160,210
130001,240,160,258
130001,240,210,258
190064,240,210,255
190064,240,154,255
190064,240,154,210
30002,246,115,181
50002,246,112,115
210001,246,112,181
280001,246,112,162
320001,246,151,153
330001,246,174,176
400002,246,194,269
610002,246,155,253
610003,246,101,105
610021,246,124,130
7120001,267,102,103
7120001,267,101,103
7120001,267,101,102
500001,466,109,130
9610032,466,130,131
20001,469,125,135
120001,469,120,122
240021,469,183,193
240021,469,183,194
240021,469,193,194
240057,469,115,126
240069,469,120,151
170001,565,125,135
310001,565,101,134
9840001,565,112,134
9880001,565,162,163
9900001,565,111,118
9900001,565,111,139
9900001,565,118,139
9960010,565,110,141
9960010,565,110,114
9960010,565,114,141
100001,666,116,126
260001,666,113,115
290008,666,105,149
240001,681,104,111
450001,681,117,131
670001,681,115,120
910001,681,106,133
1000001,681,139,148
1630001,681,152,154
67780049,681,116,119
2,759,101,103
130014,831,109,110
30002,874,124,125
60002,874,142,6502
190004,874,120,123
240006,874,173,176
240006,874,167,176
240006,874,167,173
510001,874,120,196
510001,874,196,241
510001,874,120,241
570122,874,196,200
570129,874,200,206
570130,874,202,203
7020000,922,125,127
7020000,922,125,131
7020000,922,127,131
40001,1015,163,170
40001,1015,163,166
40001,1015,166,170
120001,1015,121,122
220001,1015,166,169
370001,1015,271,274
370001,1015,272,274
370001,1015,271,272
430099,1015,273,275
40002,1020,101,105
160001,1020,175,177
170002,1020,105,127
170002,1020,127,129
170002,1020,105,129
200001,1020,124,180
520001,1020,220,221
570001,1020,101,131
600001,1020,105,112
640068,1020,161,165
640068,1020,150,161
640068,1020,150,165
640101,1020,102,135
250003,1031,121,122
270001,1031,216,275
490002,1031,158,235
490002,1031,158,165
490002,1031,165,235
570001,1031,258,280
610001,1031,258,299
670019,1031,108,216
670101,1031,182,190
220002,1034,111,145
100001,1061,102,104
110002,1061,112,114
7010002,1061,124,145
7010002,1061,124,158
7010002,1061,145,158
7470001,1061,109,159
7470001,1061,109,293
7470001,1061,159,293
7520003,1061,138,159
7530004,1061,149,159
7590004,1061,144,149
7620002,1061,110,142
7730004,1061,149,164
7750004,1061,145,146
7790001,1061,159,202
7820003,1061,135,159
7840004,1061,159,275
7890003,1061,159,216
7890003,1061,159,278
7890003,1061,216,278
8020003,1061,109,135
8040003,1061,159,193
30002,1139,105,123
30002,1139,105,174
30002,1139,123,174
200001,1139,162,174
280009,1139,288,291
280009,1139,288,294
280009,1139,291,294
320002,1139,260,261
320002,1139,261,264
320002,1139,260,264
420001,1139,188,294
420001,1139,174,294
420001,1139,174,188
450001,1139,353,356
560001,1139,117,155
620002,1139,118,301
620002,1139,118,303
620002,1139,301,303
680002,1139,156,158
680002,1139,158,303
680002,1139,156,303
720001,1139,180,181
8340048,1139,350,365
8340136,1139,180,188
8340160,1139,118,136
8340164,1139,155,303
8340172,1139,172,201
8340172,1139,171,201
8340172,1139,171,172
100085,1167,202,205
10001,1200,160,182
30001,1200,100,140
30001,1200,139,140
30001,1200,100,139
40001,1200,100,120
70001,1200,160,173
80001,1200,100,105
90001,1200,100,134
90001,1200,100,112
90001,1200,112,134
130001,1200,100,124
150001,1200,120,140
180001,1200,170,173
200001,1200,100,134
230001,1200,157,305
270001,1200,105,160
280001,1200,140,144
290001,1200,450,456
360001,1200,303,305
390001,1200,401,441
470001,1200,442,660
510001,1200,450,454
550001,1200,139,303
580001,1200,441,454
610001,1200,443,700
650001,1200,401,404
670001,1200,100,137
680001,1200,169,173
740001,1200,415,456
780051,1200,160,163
780104,1200,403,441
780161,1200,701,703
780161,1200,701,705
780161,1200,703,705
780173,1200,708,712
780180,1200,443,453
10036,1263,152,161
2,1264,106,114
140001,1268,210,216
150001,1268,251,270
180001,1268,216,251
180004,1268,101,121
90001,1271,211,215
90001,1271,125,215
90001,1271,125,211
3,1304,161,195
120001,1304,105,195
130046,1304,161,162
140001,1309,111,204
140007,1309,105,116
140009,1309,111,124
140010,1309,111,201
140023,1309,201,203
140023,1309,201,208
140023,1309,203,208
140025,1309,203,210
140032,1309,217,218
140032,1309,217,219
140032,1309,218,219
70003,2100,113,439
7830003,2100,438,439
7830003,2100,439,450
7830003,2100,438,450
7240001,2200,146,163
7640001,2200,176,177
7640001,2200,176,240
7640001,2200,176,255
7640001,2200,177,240
7640001,2200,177,255
7640001,2200,240,255
8840004,2200,226,228
8890007,2200,345,347
9800031,2200,107,229
9800178,2200,107,234
90002,2300,101,116
90002,2300,101,120
90002,2300,116,117
90002,2300,116,120
90002,2300,101,117
90002,2300,117,120
10003,2400,308,316
110002,2400,208,209
130001,2400,109,210
140003,2400,302,308
720001,2400,213,224
720001,2400,202,224
720001,2400,202,213
7840007,2400,231,302
7840007,2400,231,243
7840007,2400,243,302
7970007,2400,243,254
8050002,2400,230,239
8090003,2400,316,327
8140025,2400,202,270
8140025,2400,202,239
8140025,2400,239,270
8140025,2400,104,270
8140025,2400,104,202
8140025,2400,104,239
8140068,2400,249,256
8140073,2400,254,259
8140113,2400,337,338
8140113,2400,337,340
8140113,2400,338,340
8140124,2400,107,152
8140124,2400,106,107
8140124,2400,107,150
8140124,2400,106,150
8140124,2400,106,152
8140124,2400,150,152
8140126,2400,109,223
440001,2500,123,137
450001,2500,123,173
640001,2500,123,176
640001,2500,123,192
640001,2500,176,192
15400001,2500,181,188
15410001,2500,173,257
15440001,2500,124,135
15440001,2500,124,138
15440001,2500,135,138
15450001,2500,188,201
15450001,2500,188,202
15450001,2500,201,202
15480001,2500,124,185
15480001,2500,124,138
15480001,2500,138,185
15530001,2500,123,185
15680001,2500,188,198
15700001,2500,138,173
15710007,2500,121,124
15710040,2500,159,191
15710083,2500,138,199
7620001,2530,102,166
30001,2550,113,127
150001,2550,108,129
160001,2550,110,163
160001,2550,110,111
160001,2550,111,163
230001,2550,113,123
320001,2550,117,125
320001,2550,117,149
320001,2550,125,149
330001,2550,260,261
330001,2550,256,261
330001,2550,256,260
480187,2550,253,255
80001,2560,101,280
80001,2560,101,106
80001,2560,106,280
320001,2560,417,420
320001,2560,417,418
320001,2560,418,420
330002,2560,122,206
420001,2560,101,104
420001,2560,101,140
420001,2560,104,140
60002,2600,122,308
60002,2600,125,308
60002,2600,122,125
100005,2600,168,178
100005,2600,168,450
100005,2600,178,450
150001,2600,109,121
190005,2600,147,176
7360001,2600,105,110
7380003,2600,106,121
7470001,2600,105,147
7480001,2600,105,139
7490004,2600,135,178
7490004,2600,135,139
7490004,2600,139,178
7530001,2600,147,269
7740005,2600,109,168
7850001,2600,328,332
8120012,2600,109,608
8260001,2600,168,255
8280002,2600,177,339
8390005,2600,177,572
8470001,2600,123,332
8480001,2600,109,127
8520001,2600,627,647
8550001,2600,575,588
8670001,2600,200,252
8670001,2600,105,200
8670001,2600,105,252
8780127,2600,177,372
8780127,2600,139,372
8780127,2600,139,177
8780141,2600,251,266
8780147,2600,115,355
8780147,2600,115,255
8780147,2600,115,147
8780147,2600,255,355
8780147,2600,147,355
8780147,2600,147,255
8780228,2600,460,495
8780304,2600,543,545
7350002,2610,101,113
7350002,2610,101,144
7350002,2610,113,144
7530002,2610,123,144
7680002,2610,162,164
7680002,2610,162,205
7680002,2610,164,205
7820001,2610,162,200
7820001,2610,162,252
7820001,2610,162,254
7820001,2610,200,252
7820001,2610,200,254
7820001,2610,252,254
7860001,2610,205,239
7940001,2610,252,258
8020001,2610,419,492
8080001,2610,153,248
8200001,2610,205,212
8310119,2610,400,404
8310136,2610,410,463
8310136,2610,410,500
8310136,2610,463,500
8310138,2610,410,470
8310140,2610,412,418
8310184,2610,115,200
40005,2620,210,216
70003,2620,138,158
90004,2620,220,231
360002,2620,120,166
7390001,2620,114,131
7450001,2620,101,133
7450001,2620,101,250
7450001,2620,133,250
7460003,2620,138,210
7460003,2620,127,210
7460003,2620,127,138
7580004,2620,214,225
7600004,2620,210,241
7600004,2620,210,225
7600004,2620,225,241
7630003,2620,168,210
7650003,2620,148,151
7650003,2620,148,168
7650003,2620,151,168
7680003,2620,199,210
7710003,2620,144,199
7730005,2620,168,249
10760001,2620,103,255
10780001,2620,173,283
10850001,2620,210,301
68150001,2620,133,210
68150001,2620,210,290
68150001,2620,133,290
68150094,2620,249,310
68150096,2620,249,301
68150099,2620,148,208
130003,2630,122,280
130003,2630,122,283
130003,2630,280,283
190004,2630,115,125
300005,2630,139,149
300005,2630,139,409
300005,2630,149,409
300005,2630,149,410
300005,2630,139,410
300005,2630,409,410
7580001,2630,112,125
7600002,2630,102,112
7700001,2630,112,178
7760002,2630,112,285
7760002,2630,112,174
7760002,2630,174,285
7780001,2630,160,205
7780001,2630,160,213
7780001,2630,205,213
8590058,2630,168,398
8590068,2630,178,391
270003,2640,142,151
400003,2640,111,114
400003,2640,111,125
400003,2640,111,115
400003,2640,114,115
400003,2640,114,125
400003,2640,115,125
7500002,2640,123,125
7500002,2640,119,125
7500002,2640,119,123
7930001,2640,250,271
7930001,2640,256,271
7930001,2640,250,256
8120001,2640,309,415
8170007,2640,416,417
8370008,2640,417,420
28420231,2640,203,205
28420233,2640,174,212
170005,2650,213,262
290003,2650,132,153
300004,2650,221,377
540004,2650,224,287
1550005,2650,206,213
1550005,2650,213,347
1550005,2650,206,347
7150004,2650,236,259
7150004,2650,209,259
7150004,2650,209,236
7180005,2650,206,209
7180005,2650,206,225
7180005,2650,209,225
7270003,2650,132,163
7270003,2650,132,232
7270003,2650,132,155
7270003,2650,155,163
7270003,2650,155,232
7270003,2650,163,232
7400002,2650,136,143
7410002,2650,136,168
7500001,2650,115,132
9360011,2650,419,423
22110001,2650,163,238
22110001,2650,163,437
22110001,2650,163,209
22110001,2650,209,238
22110001,2650,238,437
22110001,2650,209,437
22130095,2650,236,237
22130095,2650,237,456
22130095,2650,236,456
190001,2660,140,158
190001,2660,140,211
190001,2660,158,211
220003,2660,162,179
440003,2660,113,125
440003,2660,113,127
440003,2660,125,127
7410003,2660,114,174
7410003,2660,158,174
7410003,2660,114,158
7510003,2660,158,172
7720002,2660,110,158
7770002,2660,240,254
7770002,2660,254,256
7770002,2660,240,256
7990002,2660,172,200
8010002,2660,184,200
8020002,2660,114,146
8020002,2660,101,146
8020002,2660,101,114
8050022,2660,129,173
8050022,2660,129,174
8050022,2660,173,174
8050028,2660,139,172
8050039,2660,152,153
8050039,2660,152,160
8050039,2660,153,160
8050050,2660,172,176
4,2720,131,135
60004,2800,201,203
70001,2800,308,309
7410004,2800,203,410
7420001,2800,308,410
7450004,2800,227,312
7450004,2800,227,410
7450004,2800,312,410
7490001,2800,303,312
7790007,2800,216,405
7790007,2800,405,410
7790007,2800,216,410
7940007,2800,225,410
10142,3000,348,401
20175,3000,101,307
20321,3000,1265,1285
20321,3000,1265,1286
20321,3000,1285,1286
20522,3000,1524,1528
30713,3000,3001,3002
40143,3000,348,350
50211,3000,944,964
60214,3000,907,937
60322,3000,1258,1270
80316,3000,1299,2011
80316,3000,1214,2011
80316,3000,1214,1299
90123,3000,103,125
90532,3000,1714,1722
100146,3000,429,448
100146,3000,448,453
100146,3000,429,453
110141,3000,450,460
110141,3000,450,612
110141,3000,460,612
110232,3000,1050,1051
110522,3000,1508,1526
120231,3000,1004,1009
120231,3000,1006,1009
120231,3000,1004,1006
120522,3000,1526,1528
120522,3000,1528,1534
120522,3000,1526,1534
130522,3000,1527,1528
150124,3000,116,213
150522,3000,1521,1530
150522,3000,1528,1530
150522,3000,1521,1528
160513,3000,1634,1636
170123,3000,101,125
180172,3000,305,321
180173,3000,345,376
180534,3000,1740,1743
190172,3000,328,335
200123,3000,101,121
210521,3000,1509,1514
210521,3000,1509,1520
210521,3000,1514,1520
240123,3000,122,125
240513,3000,1636,1638
240513,3000,1638,1646
240513,3000,1636,1646
250514,3000,1629,1657
260161,3000,720,724
260161,3000,724,801
260161,3000,720,801
260214,3000,908,937
260534,3000,1737,1740
260534,3000,1740,1747
260534,3000,1737,1747
310231,3000,1013,1021
330514,3000,1636,1655
340514,3000,1654,1655
390213,3000,930,932
400533,3000,1781,1783
440533,3000,1784,1785
460231,3000,1024,1092
470512,3000,1620,1623
510533,3000,1714,1757
510533,3000,1714,5405
510533,3000,1757,5405
520213,3000,930,995
530533,3000,1753,1757
7270721,3000,4281,4359
7270721,3000,4281,5583
7270721,3000,4281,5584
7270721,3000,4359,5583
7270721,3000,5583,5584
7270721,3000,4359,5584
8310713,3000,3001,4106
8310713,3000,4106,4128
8310713,3000,3001,4128
8310713,3000,4106,4762
8310713,3000,3001,4762
8310713,3000,4128,4762
8470165,3000,613,628
8640112,3000,4276,4393
8640112,3000,4113,4276
8640112,3000,4113,4393
8650723,3000,4129,4360
8650723,3000,4129,4393
8650723,3000,4129,4177
8650723,3000,4177,4360
8650723,3000,4177,4393
8650723,3000,4360,4393
8820723,3000,4271,4275
8820723,3000,4146,4281
8820723,3000,4146,4275
8820723,3000,4146,4271
8820723,3000,4275,4281
8820723,3000,4271,4281
8890111,3000,4276,4283
8900111,3000,4276,4277
8900111,3000,4276,4317
8900111,3000,4277,4317
9070122,3000,238,248
9080121,3000,116,248
9080121,3000,116,301
9080121,3000,248,301
9100121,3000,103,116
9110121,3000,101,116
9110121,3000,116,237
9110121,3000,101,237
9150121,3000,103,202
9410172,3000,305,322
9440176,3000,304,305
9440176,3000,304,354
9440176,3000,305,354
9740124,3000,116,117
10110173,3000,343,349
10140173,3000,343,355
10470142,3000,348,421
10480142,3000,348,405
10840147,3000,452,643
10850147,3000,643,691
10970141,3000,432,442
10970141,3000,442,459
10970141,3000,432,459
11110132,3000,514,1522
11110132,3000,514,1528
11110132,3000,1522,1528
11110132,3000,513,514
11110132,3000,513,1522
11110132,3000,513,1528
11230642,3000,525,4110
11230642,3000,525,4275
11230642,3000,4110,4275
11680521,3000,1508,1514
11680521,3000,1508,1528
11680521,3000,1508,1852
11680521,3000,1514,1528
11680521,3000,1528,1852
11680521,3000,1514,1852
11820152,3000,809,810
11820152,3000,809,813
11820152,3000,810,813
11840152,3000,806,809
11850152,3000,714,809
11900153,3000,733,1101
11900153,3000,733,998
11900153,3000,733,809
11900153,3000,809,1101
11900153,3000,998,1101
11900153,3000,809,998
11970147,3000,714,801
11980147,3000,801,806
12050152,3000,807,833
12050152,3000,807,808
12050152,3000,808,833
12060151,3000,808,813
12130152,3000,998,1422
12130152,3000,998,1405
12130152,3000,1405,1422
12320514,3000,1636,1753
12340512,3000,1503,1626
12340512,3000,1503,1629
12340512,3000,1626,1629
12340512,3000,1626,1677
12340512,3000,1503,1677
12340512,3000,1629,1677
12450414,3000,1321,1636
12450414,3000,1321,1787
12450414,3000,1321,1323
12450414,3000,1323,1636
12450414,3000,1636,1787
12450414,3000,1323,1787
12470415,3000,1323,1324
12510512,3000,1601,1621
12510512,3000,1601,1634
12510512,3000,1621,1634
12540513,3000,1621,1649
12600513,3000,1636,1656
12640532,3000,1714,1760
12650532,3000,1714,1726
12730533,3000,1714,1736
12730533,3000,1714,1786
12730533,3000,1736,1786
12740533,3000,1753,1786
13000000,3000,1737,1828
13000000,3000,1737,1875
13000000,3000,1828,1875
13020534,3000,1736,1876
13020534,3000,1736,1737
13020534,3000,1737,1876
13670412,3000,1301,1308
13670412,3000,1301,1337
13670412,3000,1308,1337
13710421,3000,1402,1422
13790414,3000,1321,1331
13860413,3000,1309,1337
13870413,3000,1337,1338
13880414,3000,1316,1318
13890413,3000,1314,1318
13940414,3000,1314,1321
14010415,3000,1601,1619
14280421,3000,1121,1402
14280421,3000,1121,1132
14280421,3000,1132,1402
14320411,3000,1307,1349
14590232,3000,1021,1121
15180315,3000,1207,2007
15800232,3000,1021,1053
15800232,3000,1021,1180
15800232,3000,1053,1180
15820232,3000,1048,1075
15820232,3000,1021,1075
15820232,3000,1021,1048
15860231,3000,1017,1036
15860231,3000,1017,1040
15860231,3000,1017,1021
15860231,3000,1036,1040
15860231,3000,1021,1040
15860231,3000,1021,1036
15900231,3000,1004,1023
15900231,3000,895,1023
15900231,3000,895,1004
15910231,3000,935,1023
15910231,3000,935,995
15910231,3000,995,1023
15930213,3000,1024,1090
15930213,3000,1020,1090
15930213,3000,935,1090
15930213,3000,935,1024
15930213,3000,1020,1024
15930213,3000,935,1020
16170164,3000,643,733
16170164,3000,733,1106
16170164,3000,643,1106
16180164,3000,638,643
16220164,3000,613,622
16220164,3000,613,638
16220164,3000,622,638
16270214,3000,959,970
16270214,3000,970,1172
16270214,3000,959,1172
16310214,3000,937,944
16440171,3000,305,320
16450171,3000,305,336
16540169,3000,328,336
16740213,3000,899,941
16740213,3000,899,991
16740213,3000,899,1077
16740213,3000,899,929
16740213,3000,929,941
16740213,3000,929,1077
16740213,3000,929,991
16740213,3000,941,1077
16740213,3000,991,1077
16740213,3000,941,991
16830164,3000,641,643
17390131,3000,501,512
17400141,3000,414,513
17490221,3000,1021,1024
18580533,3000,1735,1754
18580533,3000,1735,1736
18580533,3000,1736,1754
18650412,3000,1307,1308
18650412,3000,1308,1422
18650412,3000,1307,1422
22450732,3000,4312,4316
22920113,3000,203,3026
22920113,3000,203,4279
22920113,3000,3026,4279
23610533,3000,1714,1790
23610533,3000,1714,1800
23610533,3000,1790,1800
23730713,3000,4128,4648
23750724,3000,4431,4452
23750724,3000,4431,4454
23750724,3000,4452,4454
23760725,3000,4452,4459
23760725,3000,4439,4459
23760725,3000,4439,4452
23770724,3000,4430,4452
23770724,3000,4430,4464
23770724,3000,4452,4464
23780714,3000,4135,4628
23780714,3000,4106,4628
23780714,3000,4106,4135
23800122,3000,236,4350
23800122,3000,235,4350
23800122,3000,235,236
23880254,3000,1307,1368
23880254,3000,1252,1307
23880254,3000,1252,1368
23960845,3000,4543,4549
23960845,3000,4549,4565
23960845,3000,4543,4565
24020251,3000,1096,1121
24140824,3000,1714,4550
24210832,3000,4329,4336
24240724,3000,4458,4596
24240724,3000,4596,5011
24240724,3000,4458,5011
24240735,3000,4753,4805
24240735,3000,4786,4805
24240735,3000,4753,4786
24310761,3000,4162,4601
24410661,3000,4752,4753
24450832,3000,4325,4335
24530725,3000,4452,4773
24540111,3000,4101,4773
24540111,3000,4101,7001
24540111,3000,4773,7001
24580541,3000,5404,5405
24610845,3000,4543,4545
24720843,3000,4181,4550
24720843,3000,4550,4574
24720843,3000,4181,4574
24730714,3000,4754,4765
24760530,3000,1838,1842
24770735,3000,4753,4756
24810211,3000,390,395
24810211,3000,317,395
24810211,3000,317,390
24810211,3000,389,395
24810211,3000,389,390
24810211,3000,317,389
24910530,3000,1787,1836
24950231,3000,1023,1040
24950231,3000,1023,1063
24950231,3000,1040,1063
24970714,3000,4627,4630
24970714,3000,4628,4630
24970714,3000,4627,4628
24980713,3000,3001,4345
25030124,3000,235,4113
25080841,3000,4180,4181
25080841,3000,4181,4554
25080841,3000,4180,4554
25310713,3000,3001,4860
25310713,3000,3007,4860
25310713,3000,3001,3007
25320223,3000,894,995
25320223,3000,894,929
25320223,3000,929,995
25330223,3000,929,6624
25370532,3000,1714,1731
25430121,3000,203,2052
25430121,3000,203,4452
25430121,3000,2052,4452
25430121,3000,116,4452
25430121,3000,116,203
25430121,3000,116,2052
25560221,3000,1101,1108
25560221,3000,1101,1128
25560221,3000,1108,1128
25610543,3000,1714,1847
25620736,3000,4753,4809
25750735,3000,4753,4791
25790124,3000,4110,4397
25810842,3000,1451,1452
25810842,3000,1452,1453
25810842,3000,1451,1453
25920544,3000,1787,1827
25950842,3000,1435,4850
26010412,3000,1308,1435
26040735,3000,4805,4808
26040735,3000,4805,4809
26040735,3000,4808,4809
26080844,3000,4544,4557
26080844,3000,4544,5450
26080844,3000,4557,5450
26350844,3000,4546,4572
26350844,3000,4546,4599
26350844,3000,4572,4599
26360743,3000,4100,4196
26450411,3000,1362,1435
26480415,3000,1314,1864
26480415,3000,1309,1864
26480415,3000,1309,1314
26510545,3000,1714,1864
26560251,3000,1105,1121
26620214,3000,1105,1106
26640236,3000,1105,1307
26670725,3000,4773,4950
26830735,3000,4753,4789
26850844,3000,4544,5454
26960723,3000,4452,4465
26960723,3000,4465,4484
26960723,3000,4452,4484
26980735,3000,4754,4756
27710231,3000,893,895
27840221,3000,1106,1122
27840221,3000,1106,1181
27840221,3000,1122,1181
27920768,3000,4805,4812
28040411,3000,1346,1362
28040411,3000,1346,1451
28040411,3000,1362,1451
28070324,3000,1215,1277
28080741,3000,4162,4199
28130725,3000,4952,4953
28130725,3000,4953,4955
28130725,3000,4952,4955
28160231,3000,894,895
28170221,3000,1015,1128
28190251,3000,1085,1201
28190251,3000,1168,1201
28190251,3000,1085,1168
28440715,3000,4135,4762
28440715,3000,4752,4762
28440715,3000,4135,4752
28450844,3000,4543,5452
28480713,3000,4106,4665
28480713,3000,4106,5578
28480713,3000,4665,5578
28500537,3000,1793,1860
28500537,3000,1793,1847
28500537,3000,1847,1860
28610725,3000,4950,4958
28660721,3000,4762,7001
28680721,3000,4762,4786
28840832,3000,2013,4325
28880725,3000,4950,4951
28880725,3000,4950,4964
28880725,3000,4951,4964
29110001,3000,4756,4765
29140001,3000,4101,4801
29160001,3000,4342,4343
29250001,3000,1218,1293
29250001,3000,1218,1277
29250001,3000,1277,1293
29290001,3000,1864,4285
29350001,3000,4100,4175
29370001,3000,1105,1132
29550001,3000,1368,1458
29550001,3000,1252,1368
29550001,3000,1252,1458
29560001,3000,4172,4649
29670001,3000,4165,4613
29670001,3000,4165,4615
29670001,3000,4613,4615
29760001,3000,1346,1409
29880001,3000,891,995
36420732,3000,249,4313
92870603,3000,236,248
92870604,3000,239,4113
92870604,3000,239,6900
92870604,3000,4113,6900
92870620,3000,316,921
92870635,3000,348,612
92870635,3000,348,618
92870635,3000,612,618
92870656,3000,398,4452
92870656,3000,4452,5503
92870656,3000,398,5503
92870663,3000,426,431
92870667,3000,429,463
92870668,3000,429,809
92870668,3000,429,1508
92870668,3000,429,1522
92870668,3000,809,1508
92870668,3000,809,1522
92870668,3000,1508,1522
92870679,3000,450,513
92870679,3000,450,1528
92870679,3000,513,1528
92870689,3000,513,525
92870689,3000,525,612
92870689,3000,513,612
92870689,3000,501,525
92870689,3000,501,513
92870689,3000,501,612
92870789,3000,970,1077
92870789,3000,937,970
92870789,3000,937,1077
92870803,3000,968,1128
92870804,3000,970,1021
92870804,3000,1021,1077
92870804,3000,970,1077
92870811,3000,983,1158
92870821,3000,1004,1021
92870841,3000,1021,1056
92870841,3000,1021,1062
92870841,3000,1021,6685
92870841,3000,1056,1062
92870841,3000,1056,6685
92870841,3000,1062,6685
92870876,3000,1077,1105
92870876,3000,1077,1143
92870876,3000,1105,1143
92870888,3000,1093,1121
92870906,3000,1127,1130
92870906,3000,1127,1132
92870906,3000,1130,1132
92870947,3000,1252,1291
92871081,3000,1528,1753
92871081,3000,1528,1868
92871081,3000,1753,1868
92871099,3000,1636,1641
92871120,3000,1714,1753
92871139,3000,1753,1760
92871331,3000,4162,4177
92871392,3000,4325,4338
92871438,3000,4430,4481
92871438,3000,4430,4482
92871438,3000,4481,4482
92871585,3000,4653,4654
92871612,3000,4755,4765
92871615,3000,4756,4760
92871638,3000,4797,4798
92871639,3000,4797,4800
92871639,3000,4797,4823
92871639,3000,4800,4823
92871975,3000,453,479
92871975,3000,449,479
92871975,3000,449,453
92871992,3000,1886,1887
92872004,3000,4287,4317
92872090,3000,4283,4316
92872103,3000,1714,1886
92872165,3000,1500,1636
92872176,3000,1252,1281
92872193,3000,1501,1629
92872222,3000,1379,1401
92872224,3000,1256,1267
92872233,3000,1886,1896
92872238,3000,1096,1196
92872248,3000,4113,4286
92872250,3000,4652,4653
92872252,3000,4452,1022
160001,3570,118,122
260001,3570,120,134
