"TABLE 8.- MOTOR  VEHICLES REGISTERED IN CITIES, ",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים בערים,"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,2010,,,,,,"מספרים מוחלטים"
," Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
"Nahariyya",845,16,49,134,45,330,"1,392","1,722","13,272 ","16,083 ","51,700 ","נהרייה"
"Nes Ziyyona",539,6,108,4,16,197,"1,238","1,435","11,698 ","13,806 ","39,100 ","נס ציונה"
" Nazareth",363,25,200,439,191,869,"3,631","4,500","17,058 ","22,776 ","73,000 ","נצרת"
"Nazerat Illit",158,5,32,24,51,200,975,"1,175","10,028 ","11,473 ","40,900 ","נצרת עילית"
"Nesher",169,11,31,"-",10,254,613,867,"6,545 ","7,633 ","24,000 ","נשר"
"Netivot",76,6,54,40,63,203,770,973,"4,175 ","5,387 ","27,500 ","נתיבות"
"Netanya","2,747",62,526,98,186,"1,232","5,483","6,715","44,639 ","54,973 ","186,800 ","נתניה"
"Sakhnin",40,"-",40,21,73,168,"1,146","1,314","6,223 ","7,711 ","26,300 ","סח'נין"
"Akko",406,32,76,50,44,269,"1,036","1,305","9,720 ","11,633 ","46,600 ","עכו"
"Afula",299,31,60,189,57,292,"1,157","1,449","9,718 ","11,803 ","41,000 ","עפולה"
"Arad",170,2,45,82,111,112,868,980,"4,545 ","5,935 ","23,700 ","ערד"
"Petah Tiqwa","4,469",129,778,95,188,"2,424","8,536","10,960","123,408 ","140,027 ","211,100 ","פתח תקווה"
"Zefat",225,5,57,60,56,87,798,885,"4,873 ","6,161 ","30,400 ","צפת"
"Qalansawe",61,6,11,10,75,154,"1,006","1,160","3,594 ","4,917 ","19,200 ","קלנסווה"
"Qiryat Ono",936,9,149,9,17,114,946,"1,060","10,350 ","12,530 ","32,200 ","קריית אונו"
"Qiryat Atta",531,9,102,91,120,567,"1,548","2,115","12,697 ","15,665 ","51,500 ","קריית אתא"
"Qiryat Bialik",327,10,74,5,24,320,"1,046","1,366","10,681 ","12,487 ","37,700 ","קריית ביאליק"
"Qiryat Gat",235,4,96,75,92,256,"1,138","1,394","8,704 ","10,600 ","47,600 ","קריית גת"
"Qiryat Yam",226,18,80,4,36,135,621,756,"8,113 ","9,233 ","37,800 ","קריית ים"
"Qiryat Motzkin",283,9,111,1,62,157,807,964,"10,826 ","12,256 ","38,500 ","קריית מוצקין"
"Qiryat Mal'akhi",90,15,14,26,56,321,673,994,"4,061 ","5,256 ","20,800 ","קריית מלאכי"
"Qiryat Shemona",231,24,46,67,54,268,730,998,"5,736 ","7,156 ","23,300 ","קריית שמונה"
"Rosh HaAyin",745,8,94,24,74,568,"1,369","1,937","11,782 ","14,664 ","39,200 ","ראש העין"
"Rishon LeZiyyon","4,138",104,"1,039",296,289,"2,140","8,155","10,295","70,509 ","86,670 ","231,000 ","ראשון לציון"
"Rahat",47,8,7,18,482,719,"2,058","2,777","4,655 ","7,994 ","53,100 ","רהט"
"Rehovot","1,208",44,384,65,151,590,"3,025","3,615","31,405 ","36,872 ","115,600 ","רחובות"
"Ramla",375,61,271,301,220,"1,768","2,342","4,110","14,591 ","19,929 ","66,200 ","רמלה"
"Ramat Gan","6,426",44,643,43,105,921,"4,687","5,608","43,690 ","56,559 ","145,900 ","רמת גן"
"Ramat HaSharon","1,214",22,110,12,20,376,"1,736","2,112","16,246 ","19,736 ","41,300 ","רמת השרון"
"Ra'annana","1,314",6,94,30,63,259,"2,488","2,747","24,675 ","28,929 ","68,900 ","רעננה"
"Sederot",102,13,80,81,67,175,694,869,"4,344 ","5,556 ","21,100 ","שדרות"
"Shefar'am",131,36,53,29,39,251,"1,665","1,916","8,301 ","10,505 ","36,900 ","שפרעם"
"Tel Aviv-Yafo","24,959","1,314","1,505","5,195",551,"5,597","22,355","27,952","196,048 ","257,524 ","404,300 ","תל אביב -יפו"
,,,,,,,,,,,,
" (1) Population data - based on temporary estimate for the year 2010.",,,,,,,,,,,,"(1) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2010."
