zomet,kvish1,kvish2,KM,SHEM_ZOMET
1067,60,0,2144,כניסה למזרע
1071,60,0,2153,כניסה לתל עדשים
1073,60,73,2155,צומת עדשים
1073,73,60,116,צומת עדשים
1075,60,9309,2174,כניסה לאיכסאל
1075,9309,60,0,כניסה לאיכסאל
1079,65,0,61,צומת חדרה (מזרח)
1089,65,6403,108,צומת מנשה
1089,6403,65,197,צומת מנשה
1089,6502,65,0,צומת מנשה
1093,65,574,145,צומת משמר הגבול
1093,574,65,201,צומת משמר הגבול
1095,65,0,165,כניסה למחצבה
1099,65,0,186,כניסה לכפר קרע
1101,65,6513,191,צומת לברטעה (קציר)
1101,6513,65,0,צומת לברטעה (קציר)
1103,65,0,203,כניסה לערה
1105,65,6524,209,צומת ערערה
1105,6524,65,0,צומת ערערה
1109,65,6535,244,צומת מי עמי
1109,6535,65,0,צומת מי עמי
1111,65,0,279,כניסה לאום אל-פחם
1113,65,0,291,כניסה למוצמוץ
1115,65,66,342,צומת מגידו
1115,66,65,188,צומת מגידו
1117,65,675,391,צומת הסרגל (תענכים)
1117,675,65,0,צומת הסרגל (תענכים)
1131,65,716,539,צומת לתמרה (צפון)
1131,716,65,134,צומת לתמרה (צפון)
1133,65,7266,565,צומת תבור
1133,7266,65,0,צומת תבור
1137,65,7276,590,צומת גזית
1137,7276,65,0,צומת גזית
1139,65,767,606,צומת כפר תבור
1139,767,65,0,צומת כפר תבור
1147,65,77,705,מחלף גולני
1147,77,65,672,מחלף גולני
1153,805,806,237,צומת חנא
1153,806,805,52,צומת חנא
1159,85,806,328,צומת חלפתא
1159,806,85,138,צומת חלפתא
1161,85,866,315,צומת חנניה
1161,866,85,315,צומת חנניה
1177,66,6953,259,צומת משמר העמק
1177,6953,66,67,צומת משמר העמק
1187,70,0,325,צומת יקנעם
1191,70,652,146,צומת שפיה
1191,652,70,0,צומת שפיה
1199,70,722,331,צומת התשבי
1199,722,70,0,צומת התשבי
1201,70,75,392,צומת העמקים
1201,75,70,392,צומת העמקים
1205,70,762,449,צומת חסידים (רכסים)
1205,762,70,0,צומת חסידים (רכסים)
1207,70,780,463,צומת זבולון
1207,780,70,0,צומת זבולון
1209,70,79,530,מחלף סומך
1209,79,70,72,מחלף סומך
1211,70,781,544,צומת אבליים
1211,781,70,101,צומת אבליים
1215,70,0,592,כניסה לטמרה
1217,70,0,614,כניסה לכאבול
1219,70,805,633,צומת יבור
1219,805,70,0,צומת יבור
1225,70,0,655,כניסה לאחיהוד
1227,70,85,661,צומת אחיהוד
1227,85,70,81,צומת אחיהוד
1231,70,0,676,כניסה לג'דידה
1233,70,8533,694,צומת ג'ולס
1233,8533,70,0,צומת ג'ולס
1241,70,8721,760,צומת כליל
1241,8721,70,0,צומת כליל
1273,71,716,281,צומת יששכר
1273,716,71,0,צומת יששכר
1285,71,90,422,צומת שאן
1285,90,71,3796,צומת שאן
1289,71,7079,436,צומת תל אשתורי
1289,7079,71,22,צומת תל אשתורי
1301,73,75,0,צומת נהלל
1301,7626,73,0,צומת נהלל
1301,75,73,274,צומת נהלל
1317,73,7255,63,צומת ברוך
1317,7255,73,179,צומת ברוך
1327,75,0,191,כניסה ליפיע
1335,75,0,301,כניסה לבית שערים
1337,75,0,310,כניסה לרמת ישי מערב
1339,75,7513,339,צומת אלונים
1339,7513,75,58,צומת אלונים
1345,75,0,356,כניסה לטבעון
1351,752,0,37,"כניסה לביח""ר נשר"
1355,77,79,498,מחלף המוביל
1355,79,77,177,מחלף המוביל
1357,77,754,612,צומת בית רימון
1357,754,77,609,צומת בית רימון
1359,77,9318,638,כניסה לטורען
1359,9318,77,0,כניסה לטורען
1365,77,768,758,צומת פורייה
1365,768,77,104,צומת פורייה
1373,79,781,50,מחלף גלעם
1373,781,79,83,מחלף גלעם
1381,79,784,174,צומת יפתחאל
1381,784,79,0,צומת יפתחאל
1387,79,7926,227,צומת ציפורי
1387,7926,79,0,צומת ציפורי
1391,85,0,41,כניסה לאל-מכר
1393,85,0,158,כניסה למג'ד אל-כרום
1395,85,8534,188,צומת בענה
1395,8534,85,0,צומת בענה
1397,85,854,211,צומת כרמיאל
1397,854,85,0,צומת כרמיאל
1399,85,784,192,צומת כרמיאל מערב
1399,784,85,262,צומת כרמיאל מערב
1401,85,0,230,כניסה לנחף
1405,85,864,278,צומת רמה מערב
1405,864,85,0,צומת רמה מערב
1407,85,90,459,צומת עמיעד
1407,90,85,4345,צומת עמיעד
1409,87,90,0,צומת כפר נחום
1409,90,87,4273,צומת כפר נחום
1419,87,888,99,צומת בית צידה
1419,888,87,0,צומת בית צידה
1421,87,92,111,צומת יהודייה
1421,92,87,261,צומת יהודייה
1439,89,8833,72,צומת אשרת
1439,8833,89,0,צומת אשרת
1441,89,0,153,כניסה למעיליה
1447,89,854,191,צומת תפן
1447,854,89,200,צומת תפן
1449,89,864,208,צומת חסן
1449,864,89,140,צומת חסן
1471,89,866,442,צומת מירון
1471,866,89,432,צומת מירון
1491,9319,90,10,כניסה לבאר אורה
1491,90,9319,292,כניסה לבאר אורה
1589,90,669,3755,צומת שלוחות-ניר דוד
1589,669,90,120,צומת שלוחות-ניר דוד
1597,90,7677,4098,צומת האכסניה
1597,7677,90,63,צומת האכסניה
1601,90,807,4204,צומת מגדל
1601,807,90,0,צומת מגדל
1617,90,8677,4409,צומת כפר הנשיא
1617,8677,90,0,צומת כפר הנשיא
1619,90,0,4426,כניסה לחצור הגלילית
1621,90,91,4435,צומת מחניים
1621,91,90,0,צומת מחניים
1625,90,9119,4505,צומת יסוד המעלה
1625,9119,90,0,צומת יסוד המעלה
1631,90,977,4645,צומת גומא
1631,977,90,0,צומת גומא
1637,90,9977,4721,צומת תל חי
1637,9977,90,815,צומת תל חי
1655,91,9088,146,צומת נשוט
1655,9088,91,0,צומת נשוט
1671,92,789,168,צומת כורסי
1671,789,92,0,צומת כורסי
1717,98,9898,898,צומת מג'דל שמס (דרום)
1717,9898,98,0,צומת מג'דל שמס (דרום)
1719,989,9898,104,"צומת נווה אטי""ב"
1719,9898,989,20,"צומת נווה אטי""ב"
1727,99,9888,30,צומת הגושרים
1727,9888,99,40,צומת הגושרים
1737,99,0,70,כניסה לשאר ישוב (צפון)
1793,232,334,597,צומת איבים
1793,334,232,135,צומת איבים
1823,241,0,176,כניסה לאופקים
1849,293,2932,57,צומת ניר משה
1849,2932,293,0,צומת ניר משה
1881,352,0,97,כניסה לנהורה
1887,353,0,45,כניסה לגת
1909,375,3855,66,צומת זנוח
1909,3855,375,88,צומת זנוח
1910,375,386,161,צומת צור הדסה
1910,386,375,0,צומת צור הדסה
1921,386,3866,23,צומת נס הרים
1921,3866,386,90,צומת נס הרים
1953,411,0,127,צומת מזכרת בתיה
1969,412,0,129,כניסה למכון וטרינרי
1979,412,0,189,כניסה לאור יהודה (מערב)
1983,412,461,210,צומת יהוד (מערב)
1983,461,412,94,צומת יהוד (מערב)
1997,424,0,101,כניסה לעזריה
2019,443,444,46,צומת בן שמן-מצבה
2019,444,443,43,צומת בן שמן-מצבה
2021,443,4314,49,צומת מודיעים (גימזו)
2021,4314,443,0,צומת מודיעים (גימזו)
2037,444,0,204,כניסה לעינת
2041,444,483,215,צומת ראש העין
2041,483,444,36,צומת ראש העין
2043,5,6,138,מחלף קסם
2043,444,5,231,מחלף קסם
2043,6,5,1420,מחלף קסם
2047,444,5233,266,צומת חורשים
2047,5233,444,0,צומת חורשים
2051,444,0,277,כניסה לשדה חמד
2061,444,0,410,כניסה לטייבה
2063,444,557,428,צומת שער אפרים
2063,5614,444,52,צומת שער אפרים
2063,557,444,0,צומת שער אפרים
2087,461,4622,78,צומת סביון
2087,4622,461,0,צומת סביון
2095,461,0,100,כניסה ליהוד
2127,553,0,67,כניסה לבני דרור
2135,553,0,128,כניסה לעזריאל
2137,554,0,21,כניסה לגן חיים
2167,574,581,158,צומת כלניות
2167,581,574,216,צומת כלניות
2183,581,5812,63,צומת אליכין
2183,5812,581,0,צומת אליכין
2193,581,5803,130,צומת המעפיל
2193,5803,581,0,צומת המעפיל
2221,652,653,101,צומת עדה
2221,653,652,101,צומת עדה
2235,653,654,135,צומת שמורת אלוני יצחק
2235,654,653,50,צומת שמורת אלוני יצחק
2245,669,6666,58,צומת למעלה גלבוע
2245,6666,669,0,צומת למעלה גלבוע
2265,672,7212,422,צומת מערת נשרים
2265,7212,672,0,צומת מערת נשרים
2267,675,6714,21,צומת ניר יפה
2267,6714,675,0,צומת ניר יפה
2268,675,6724,34,צומת דבורה
2268,6724,675,0,צומת דבורה
2271,667,675,0,צומת מעלה נורית
2271,675,667,105,צומת מעלה נורית
2273,716,717,32,צומת נעורה
2273,717,716,32,צומת נעורה
2325,784,805,179,צומת משגב
2325,805,784,91,צומת משגב
2375,886,899,612,צומת מצודת ישע
2375,899,886,604,צומת מצודת ישע
2449,977,9778,26,צומת כפר בלום
2449,9778,977,0,צומת כפר בלום
2513,3711,3703,35,כניסה לעזריקם
2513,3703,3711,75,כניסה לעזריקם
2563,4311,0,86,כניסה לפלמחים (מערב)
2615,5710,5720,0,כניסה לכפר ויתקין
2615,5720,5710,31,כניסה לכפר ויתקין
2635,5714,5803,41,צומת גן יאשיה
2635,5803,5714,58,צומת גן יאשיה
2645,6511,0,9,כניסה לאור עקיבא
2669,6724,0,23,כניסה לאדירים
2695,7266,0,35,כניסה לדבורייה
2767,9088,9098,20,צומת קצרין צפון
2767,9098,9088,0,צומת קצרין צפון
3002,3,40,2461,צומת תלמי יחיאל
3002,40,3,2461,צומת תלמי יחיאל
3003,4,0,637,צומת אשקלון
3010,40,0,1672,צומת רמת חובב
3014,60,0,2122,כניסה לבלפוריה
3018,65,807,836,צומת נחל צלמון (צפון)
3018,807,65,70,צומת נחל צלמון (צפון)
3019,65,85,902,צומת נחל עמוד (קדרים)
3019,85,65,390,צומת נחל עמוד (קדרים)
3403,4,0,2259,כניסה לאזור תעשייה
3404,4,0,2270,כניסה לאזור תעשייה
3412,85,8556,235,כניסה לאזור תעשייה
3412,8556,85,0,כניסה לאזור תעשייה
3435,4,0,2376,כניסה לאל מזרעה (צפון)
3436,65,0,307,כניסה לאל משירפה
3437,55,444,78,צומת לאלפי מנשה
3437,444,55,301,צומת לאלפי מנשה
3450,4313,0,28,"כניסה לבי""ח שמואל הרופא"
3473,77,9314,607,כניסה לבית רימון
3473,9314,77,0,כניסה לבית רימון
3480,806,0,117,כניסה לגבעת חנניה
3489,85,0,10,כניסה לדבורה הנביאה
3497,85,8512,139,צומת הר גילון
3497,8512,85,30,צומת הר גילון
3506,7912,79,0,צומת עדי
3506,79,7912,104,צומת עדי
3512,25,0,2018,כניסה לחווה (מגדה)
3544,444,0,356,כניסה לכוכב יאיר
3545,854,8544,74,צומת כישור
3545,8544,854,0,צומת כישור
3549,75,0,247,כניסה ליער כפר החורש
3553,5700,0,38,כניסה לכפר חיים
3572,85,0,174,כניסה למג'ד אל-כרום (מזרח)
3634,89,0,58,כניסה למשתלת כברי
3637,652,0,16,כניסה לנווה הברון
3655,60,0,56,כניסה לעומר
3687,35,0,127,כניסה לרווחה
3694,85,8566,264,צומת סאג`ור
3694,8566,85,0,צומת סאג`ור
3699,784,7963,170,צומת רקפת
3699,7963,784,0,צומת רקפת
3711,232,0,589,כניסה לשדרות (צפון)
3712,784,7933,139,צומת קורנית
3712,7933,784,0,צומת קורנית
3720,781,0,99,כניסה לשפרעם
3747,2,0,225,צומת
3752,3,0,2420,צומת
3755,4,0,2198,כניסה לק מוצקין רח` אושיסקין
3756,4,0,2200,צומת ק ביאליק רח' הגפן
3757,4,0,2232,כניסה למפעל קליל (כורדאני)
3759,8510,0,32,צומת עכו רח` דושינסקי
3770,77,0,655,כניסה לטורעאן (מחצבה)
3773,85,0,198,צומת
3778,89,8835,180,צומת תרשיחא
3778,8835,89,20,צומת תרשיחא
3804,99,0,143,צומת
3806,204,0,1585,צומת
3831,5,5050,150,צומת כפר קאסם (מערב)
3831,5050,5,0,צומת כפר קאסם (מערב)
3856,3703,0,12,צומת
3864,4311,0,76,כניסה לפלמחים
3865,4313,0,68,צומת
3896,483,4872,30,צומת אפק
3896,4872,483,0,צומת אפק
3897,9337,90,75,צומת בקעת תמנע
3897,90,9337,384,צומת בקעת תמנע
3898,40,224,1587,צומת הנגב
3898,224,40,0,צומת הנגב
3903,784,805,180,צומת יובלים
3903,805,784,97,צומת יובלים
3904,204,224,1517,צומת גבעת ירוחם
3904,224,204,120,צומת גבעת ירוחם
3919,31,80,410,צומת תל ערד
3919,80,31,1973,צומת תל ערד
3922,4,0,1162,גשר בר אילן
3924,4,0,1177,גשר הולכי רגל
3938,574,6353,190,צומת לאום אל-קוטוף
3938,6353,574,0,צומת לאום אל-קוטוף
3942,4,0,1553,כניסה לא' תעשייה חפר
3944,4,3703,800,כניסה לגן יבנה (דרום)
3944,3703,4,115,כניסה לגן יבנה (דרום)
3946,25,0,1409,כניסה לדימונה צפון
3980,65,0,413,כניסה לעוקף עפולה (דרום מ.עמוס
3993,1,443,189,מחלף בן שמן
3993,443,1,42,מחלף בן שמן
4001,75,0,142,צומת
4006,75,0,470,צומת
4019,461,0,30,כניסה לחוות הזרע
4021,5,40,105,מחלף ירקון
4021,40,5,2940,מחלף ירקון
4031,65,9305,281,צומת עין איברהים
4031,9305,65,36,צומת עין איברהים
4037,25,80,1539,צומת ערערה בנגב
4037,80,25,1764,צומת ערערה בנגב
4041,402,0,56,צומת אגד רעננה
4043,412,431,84,מחלף ראשונים
4043,431,412,143,מחלף ראשונים
4048,4,8510,2345,צומת שמרת
4048,8510,4,52,צומת שמרת
4050,4,85,2303,צומת עכו (מזרח)
4050,85,4,13,צומת עכו (מזרח)
4059,5,20,12,מחלף גלילות
4059,20,5,240,מחלף גלילות
4062,40,60,1817,צומת חטיבת הנגב
4062,60,40,38,צומת חטיבת הנגב
4063,25,40,1725,מחלף שרה
4063,40,25,1779,מחלף שרה
4065,754,79,564,צומת משהד
4065,79,754,280,צומת משהד
4065,6400,79,0,צומת משהד
4071,443,446,140,צומת שילת
4071,446,443,0,צומת שילת
4072,918,9779,346,צומת שמורת נחל רחום
4072,9779,918,82,צומת שמורת נחל רחום
4080,553,562,80,צומת קדימה
4080,562,553,0,צומת קדימה
4081,79,700,240,צומת הזכוכית (לנצרת מערב)
4081,700,79,240,צומת הזכוכית (לנצרת מערב)
4082,75,7756,200,צומת מגדל העמק
4082,7756,75,30,צומת מגדל העמק
4083,5,0,80,מחלף התקווה
4086,60,0,58,כניסה לא' תעשייה עומר
4088,784,0,93,כניסה לדמיידה
4095,5,0,161,מחלף ראש העין מזרח
4099,4,20,1000,מחלף חולות
4099,20,4,0,מחלף חולות
4100,444,0,99,כניסה לשוהם
4103,40,5112,2968,צומת לנווה ירק
4103,5112,40,0,צומת לנווה ירק
4105,4,0,2220,צומת ק ביאליק רח' מיסדים
4111,40,406,1735,צומת אוהלים (הנוקדים)
4111,406,40,1735,צומת אוהלים (הנוקדים)
4116,553,0,1,מחלף פולג מערבי
4118,57,0,1,מחלף נתניה מערבי
4119,57,0,3,מחלף נתניה מזרחי
4123,40,0,2944,מחלף ירקון צפוני
4127,444,0,238,מחלף קסם צפון - צפוני
4129,79,0,231,כניסה לעילוט
4131,4123,0,20,כניסה לגן שלמה
4139,7626,0,100,כניסה לכעביה
4141,25,0,1708,כניסה לשגב שלום
4143,762,0,7,כניסה לרכסים
4155,8556,0,67,כניסה לכמון
4158,444,471,175,צומת נחשונים
4158,471,444,98,צומת נחשונים
4179,35,6,220,מחלף קריית גת
4179,6,35,784,מחלף קריית גת
4183,89,90,596,מחלף אליפלט
4183,90,89,4390,מחלף אליפלט
4184,3,6,2544,מחלף שורק
4184,6,3,1000,מחלף שורק
4185,431,0,105,מחלף קריית ראשון
4187,431,0,220,מחלף רמלה מערב
4188,6,44,1150,מחלף נשרים
4188,424,6,115,מחלף נשרים
4188,431,6,245,מחלף נשרים
4188,44,6,215,מחלף נשרים
4190,40,471,2880,צומת שערייה (דרום)
4190,471,40,60,צומת שערייה (דרום)
4193,1,6,229,מחלף דניאל
4193,6,1,1190,מחלף דניאל
4194,6,444,1220,מחלף בן שמן - ב'
4194,444,6,45,מחלף בן שמן - ב'
4195,6,531,1450,מחלף חורשים
4195,531,6,185,מחלף חורשים
4197,6,57,1660,מחלף ניצני עוז
4197,57,6,142,מחלף ניצני עוז
4198,40,531,3001,מחלף אלישמע
4198,531,40,140,מחלף אלישמע
4200,431,4311,120,צומת לגן שורק
4200,4311,431,5,צומת לגן שורק
4203,6,65,1850,מחלף עירון
4203,65,6,155,מחלף עירון
4204,6,61,1770,מחלף באקה-ג`ת
4204,61,6,130,מחלף באקה-ג`ת
4205,404,0,80,מחלף יגאל
4210,4,0,975,גשר פלמחים
4219,40,431,2700,מחלף רמלה דרום
4219,431,40,216,מחלף רמלה דרום
4220,444,531,274,מחלף ג`לג`וליה
4220,531,444,168,מחלף ג`לג`וליה
4221,531,5233,173,צומת
4221,5233,531,9,צומת
4225,3,7,2550,צומת לשורק
4225,7,3,196,צומת לשורק
4242,446,0,4,כניסה לכפר רות
5520,443,4466,117,צומת מכבים
5520,4466,443,0,צומת מכבים
5529,443,0,162,צומת מכבים-רעות
5536,40,0,2708,כניסה לפיקוד העורף (רמלה קלאו)
7001,1,437,775,צומת מישור אדומים
7001,437,1,210,צומת מישור אדומים
7002,1,458,805,צומת אלון
7002,458,1,0,צומת אלון
7012,436,443,58,צומת גבעת זאב
7012,443,436,310,צומת גבעת זאב
7013,45,436,241,צומת מחנה עופר
7013,443,45,314,צומת מחנה עופר
7013,436,45,70,צומת מחנה עופר
7051,55,0,225,כניסה לקרני שומרון
7065,57,90,787,צומת אדם
7065,90,57,3313,צומת אדם
7088,60,0,646,כניסה לאלעזר
7116,1,90,951,צומת בית הערבה
7116,90,1,2871,צומת בית הערבה
7122,90,505,3215,צומת פצאל
7122,505,90,780,צומת פצאל
7145,505,5066,343,צומת יקיר
7145,5066,505,0,צומת יקיר
7147,5,505,367,צומת אריאל
7147,505,5,380,צומת אריאל
7147,4775,5,0,צומת אריאל
7153,1,417,747,מחלף אדומים
7153,417,1,0,מחלף אדומים
7159,449,458,168,צומת רימונים
7159,458,449,190,צומת רימונים
7174,60,3157,640,צומת שיירות עציון (אפרתה דרום)
7174,3157,60,0,צומת שיירות עציון (אפרתה דרום)
7180,465,0,85,צומת עופרים
7182,446,465,182,צומת בית אריה
7182,465,446,100,צומת בית אריה
7183,505,508,645,צומת מעלה אפרים
7183,508,505,0,צומת מעלה אפרים
7190,35,60,574,צומת העוקפים
7190,60,35,525,צומת העוקפים
7203,5,4765,330,מחלף ברקן
7203,4765,5,45,מחלף ברקן
7217,458,505,394,צומת
7217,505,458,589,צומת
7222,60,437,975,צומת כיכר אדם
7222,437,60,90,צומת כיכר אדם
7222,9331,60,0,צומת כיכר אדם
7231,444,0,446,כניסה לאירתאח
7232,5,446,310,צומת עלי זהב
7232,446,5,405,צומת עלי זהב
7232,4765,5,0,צומת עלי זהב
7255,60,9355,1270,כניסה לשילה
7255,9355,60,0,כניסה לשילה
7274,5066,5060,85,צומת לעמנואל
7274,5060,5066,35,צומת לעמנואל
7289,60,375,699,צומת אל-חדר
7289,375,60,240,צומת אל-חדר
8003,2,0,196,צומת תל ברוך
8009,4,75,2135,צומת קישון
8009,75,4,487,צומת קישון
8011,4,0,2155,כניסה למשרד הרישוי
8012,4,0,2158,צומת וולקן
8017,44,0,400,צומת חולון
8026,60,65,2097,"יישוב עפולה (לת""א)"
8026,65,60,442,"יישוב עפולה (לת""א)"
8038,780,0,38,"כניסה לביח""ר אתא"
8043,7110,0,24,כניסה לעתלית
8052,20,0,144,מחלף לה-גרדיה
8053,20,0,161,מחלף השלום
8056,20,0,195,מחלף רוקח
8057,20,0,216,"מחלף קק""ל"
8062,20,0,60,מחלף קוממיות
8063,20,0,75,מחלף יוספטל
8065,20,0,99,מחלף וולפסון
