"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS, ",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות, "
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2010,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
"Ar'ara",77,5,34,12,25,116,935,"1,051","3,795 ","4,999 ","22,600 ","ערערה"
"Ar'ara-BaNegev",7,"-",1,1,53,63,402,465,"871 ","1,398 ","12,700 ","ערערה-בנגב"
"Fureidis",32,1,1,8,44,97,428,525,"2,004 ","2,615 ","11,300 ","פוריידיס"
"Fassuta",9,3,13,"-",1,13,179,192,"818 ","1,036 ","2,900 ","פסוטה"
"Peqi'in (Buqei'a)",7,2,20,121,25,58,261,319,"1,337 ","1,831 ","5,400 ","פקיעין (בוקייעה)"
"Pardes Hanna-Karkur",395,2,44,65,45,214,"1,333","1,547","9,066 ","11,164 ","32,400 ","פרדס חנה-כרכור"
"Pardesiyya",125,3,20,1,5,35,247,282,"2,119 ","2,555 ","5,500 ","פרדסייה"
"Qedumim",22,"-","-","-",5,10,163,173,"722 ","922 ","3,900 ","קדומים"
"Qadima-Zoran",268,10,47,30,23,196,864,"1,060","4,926 ","6,364 ","17,100 ","קדימה-צורן"
"Qazir-Harish",23,"-",2,"-",4,17,159,176,"925 ","1,130 ","3,300 ","קציר-חריש"
"Qazrin",76,2,11,27,35,38,259,297,"1,734 ","2,182 ","6,700 ","קצרין"
"Qiryat Arba",32,3,2,4,16,20,160,180,"771 ","1,008 ","7,200 ","קריית ארבע"
"Qiryat Tiv'on",151,2,43,"-",25,81,671,752,"5,368 ","6,341 ","16,700 ","קריית טבעון"
"Qiryat Ye'arim",12,"-","-","-",7,2,63,65,"304 ","388 ","2,800 ","קריית יערים"
"Qiryat Eqron",129,21,50,5,13,74,380,454,"2,845 ","3,517 ","10,200 ","קריית עקרון"
"Qarne Shomeron",53,1,4,2,5,23,256,279,"1,603 ","1,947 ","6,300 ","קרני שומרון"
"Rame",6,2,19,"-",28,89,355,444,"2,024 ","2,523 ","7,300 ","ראמה"
"Rosh Pinna",53,1,5,"-",4,47,196,243,"996 ","1,302 ","2,700 ","ראש פינה"
"Reine",18,20,17,16,34,174,781,955,"2,879 ","3,939 ","17,500 ","ריינה"
"Rekhasim",26,"-",5,2,24,14,147,161,"903 ","1,121 ","9,500 ","רכסים"
"Ramat Yishay",72,"-",1,1,1,66,276,342,"2,298 ","2,715 ","6,800 ","רמת ישי"
"Shibli-Umm Al-Ghanam",19,1,5,4,38,140,248,388,"1,126 ","1,581 ","5,100 ","שבלי-אום אל-גנם"
"Segev-Shalom",10,"-",2,"-",39,46,305,351,"646 ","1,048 ","7,700 ","שגב-שלום"
"Shoham",280,1,32,6,16,75,610,685,"5,707 ","6,727 ","18,700 ","שוהם"
"Shelomi",48,3,4,16,12,21,232,253,"1,568 ","1,904 ","6,000 ","שלומי"
"Sha'ab",26,2,5,"-",35,30,215,245,"1,241 ","1,554 ","6,000 ","שעב"
"Tel Mond",164,6,12,13,11,74,526,600,"3,326 ","4,132 ","10,500 ","תל מונד"
"Tel Sheva",19,12,3,10,52,96,587,683,"1,275 ","2,054 ","15,700 ","תל שבע"
,,,,,,,,,,,,
" (1) Population data - based on temporary estimate for the year 2010.",,,,,,,,,,,,"(1) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2010."
